問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3
一つ,ひとつ,数の1,,15,ひとつ,,,
右手,みぎて,右のて,,15,みぎて,,,
雨,あめ,空からふる水,,15,あめ,,,
百円,ひゃくえん,お金の単位,,15,ひゃくえん,,,
王さま,おうさま,国をおさめる人,,15,おうさま,,,
音,おと,耳に聞こえるひびき,,15,おと,,,
下,した,低いほう,,15,した,,,
火,ひ,もえるほのお,,15,ひ,,,
花,はな,草木にさくもの,,15,はな,,,
貝,かい,海にすむ生きもの,,15,かい,,,
学校,がっこう,勉強するところ,,15,がっこう,,,
元気,げんき,体や心の調子がよいこと,,15,げんき,,,
九つ,ここのつ,数の9,,15,ここのつ,,,
休む,やすむ,つかれをとる,,15,やすむ,,,
玉,たま,まるいもの,,15,たま,,,
お金,おかね,買いものに使うもの,,15,おかね,,,
空,そら,頭の上に広がるところ,,15,そら,,,
月,つき,夜に光る星のなかま,,15,つき,,,
犬,いぬ,人になれる動物,,15,いぬ,,,
見る,みる,目でとらえる,,15,みる,,,
五つ,いつつ,数の5,,15,いつつ,,,
口,くち,食べたり話したりするところ,,15,くち,,,
校長,こうちょう,学校でいちばん上の先生,,15,こうちょう,,,
左手,ひだりて,左のて,,15,ひだりて,,,
三つ,みっつ,数の3,,15,みっつ,,,
山,やま,高くもり上がった土地,,15,やま,,,
子ども,こども,小さい人,,15,こども,,,
四つ,よっつ,数の4,,15,よっつ,,,
糸,いと,細くて長いもの,,15,いと,,,
名字,みょうじ,家の名まえ,,15,みょうじ,,,
耳,みみ,音を聞くところ,,15,みみ,,,
七つ,ななつ,数の7,,15,ななつ,,,
車,くるま,タイヤで走るもの,,15,くるま,,,
手,て,ものをつかむところ,,15,て,,,
十,じゅう,数の10,,15,じゅう,,,
出る,でる,中から外へ動く,,15,でる,,,
女の子,おんなのこ,女性の子ども,,15,おんなのこ,,,
小さい,ちいさい,大きくない,,15,ちいさい,,,
上,うえ,高いほう,,15,うえ,,,
森,もり,木がたくさん集まった所,,15,もり,,,
人,ひと,わたしたちのこと,,15,ひと,,,
水,みず,のんだり洗ったりするもの,,15,みず,,,
正しい,ただしい,まちがっていない,,15,ただしい,,,
生きる,いきる,命がある,,15,いきる,,,
青い,あおい,空のような色,,15,あおい,,,
夕方,ゆうがた,日がしずむころ,,15,ゆうがた,,,
石,いし,かたいつぶ,,15,いし,,,
赤い,あかい,血のような色,,15,あかい,,,
千円,せんえん,お金の単位,,15,せんえん,,,
川,かわ,水が流れるところ,,15,かわ,,,
先生,せんせい,教えてくれる人,,15,せんせい,,,
早い,はやい,時こくが前のほう,,15,はやい,,,
草,くさ,地面に生える緑のもの,,15,くさ,,,
足,あし,体をささえて歩くところ,,15,あし,,,
村,むら,小さな町,,15,むら,,,
大きい,おおきい,小さくない,,15,おおきい,,,
男の子,おとこのこ,男性の子ども,,15,おとこのこ,,,
竹,たけ,まっすぐのびる植物,,15,たけ,,,
中,なか,うちがわ,,15,なか,,,
虫,むし,小さな生きもの,,15,むし,,,
町,まち,人が集まって住む所,,15,まち,,,
天気,てんき,晴れや雨のようす,,15,てんき,,,
田んぼ,たんぼ,米を作るところ,,15,たんぼ,,,
土,つち,地面をつくるもの,,15,つち,,,
二つ,ふたつ,数の2,,15,ふたつ,,,
日,ひ,太陽。または一日,,15,ひ,,,
入る,はいる,外から中へ動く,,15,はいる,,,
一年,いちねん,十二か月のまとまり,,15,いちねん,,,
白い,しろい,雪のような色,,15,しろい,,,
八つ,やっつ,数の8,,15,やっつ,,,
百,ひゃく,数の100,,15,ひゃく,,,
文,ぶん,ことばをつないだもの,,15,ぶん,,,
木,き,森に生えている植物,,15,き,,,
本,ほん,読むもの,,15,ほん,,,
名前,なまえ,よび方,,15,なまえ,,,
目,め,ものを見るところ,,15,め,,,
立つ,たつ,まっすぐな姿勢になる,,15,たつ,,,
力,ちから,ものを動かすもと,,15,ちから,,,
林,はやし,木が集まった所,,15,はやし,,,
六つ,むっつ,数の6,,15,むっつ,,,
