問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
a,1つの,数えられる名詞の前につける,I have a pen.,10,,,,,,
an,1つの,母音の音で始まる語の前につける,She is an artist.,10,,,,,,
the,その,相手と分かっているものにつける,Open the door.,10,,,,,,
a.m.,午前,ラテン語から。p.m. の対,The class starts at 9 a.m.,10,,,,,,
p.m.,午後,a.m. の対,I go home at 5 p.m.,10,,,,,,
about,約、～について,意味が2つある,It takes about ten minutes.,10,,,,,,
at,～に、～で,場所や時刻を示す,I get up at six.,10,,,,,,
by,～によって、～のそばに,意味が2つある,Go to school by bus.,10,,,,,,
for,～のために、～の間,意味が2つある,This gift is for you.,10,,,,,,
from,～から,,I am from Japan.,10,,,,,,
in,～の中に,,The cat is in the box.,10,,,,,,
into,～の中へ,in より動きを表す,He jumped into the pool.,10,,,,,,
of,～の,,the top of the hill,10,,,,,,
on,～の上に,ふれている状態,The book is on the desk.,10,,,,,,
to,～へ、～すること,,I go to school.,10,,,,,,
with,～と一緒に、～を使って,意味が2つある,Cut it with scissors.,10,,,,,,
through,～を通りぬけて,gh を読まない,We walked through the park.,10,,,,,,
behind,～の後ろに,,The ball is behind the door.,10,,,,,,
beside,～のそばに,,Sit beside me.,10,,,,,,
very,とても,,This is very good.,10,,,,,,
