問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
dad,お父さん,father のくだけた言い方,My dad cooks well.,10,,,,,,
daddy,パパ,小さい子が使う言い方,"Daddy, look at this.",10,,,,,,
mom,お母さん,mother のくだけた言い方,My mom is a nurse.,10,,,,,,
mommy,ママ,小さい子が使う言い方,"Mommy, I am hungry.",10,,,,,,
mum,お母さん,イギリスでの言い方,My mum works at a shop.,10,,,,,,
grandma,おばあちゃん,grandmother のくだけた形,Grandma made this cake.,10,,,,,,
grandpa,おじいちゃん,grandfather のくだけた形,Grandpa tells good stories.,10,,,,,,
grandparent,祖父母の1人,grand ＋ parent,My grandparents live nearby.,10,,,,,,
son,息子,daughter の対,They have one son.,10,,,,,,
daughter,娘,son の対,Their daughter is ten.,10,,,,,,
husband,夫,wife の対,Her husband is a teacher.,10,,,,,,
wife,妻,husband の対。複数形は wives,His wife is a doctor.,10,,,,,,
cousin,いとこ,s を読まない,My cousin lives in Osaka.,10,,,,,,
boyfriend,彼氏,boy ＋ friend,She has a boyfriend.,10,,,,,,
girlfriend,彼女,girl ＋ friend,He came with his girlfriend.,10,,,,,,
kid,子ども,child のくだけた言い方,The kids are playing.,10,,,,,,
guy,男の人、やつ,くだけた言い方,That guy is my brother.,10,,,,,,
lady,女の人,ていねいな言い方,The lady in blue is my aunt.,10,,,,,,
guest,客,招かれた人,We had ten guests.,10,,,,,,
owner,持ち主,own（所有する）＋ er,Who is the owner of this bag?,10,,,,,,
