問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
cognitive,認知の,,Cognitive skills develop early.,10,,,,,,
behavioral,行動の,behavior（行動）から,They studied behavioral change.,10,,,,,,
motivate,動機づける,motivation（動機）から,Praise motivates students.,10,,,,,,
reinforcement,強化,reinforce（強化する）から,Positive reinforcement works well.,10,,,,,,
retention,保持、定着,retain（保つ）から,Retention improves with review.,10,,,,,,
comprehension,理解力,comprehend（理解する）から,Reading comprehension is tested.,10,,,,,,
proficiency,熟達,,She has language proficiency.,10,,,,,,
competence,能力、力量,,He showed great competence.,10,,,,,,
assessment,評価、査定,assess（評価する）から,The assessment was fair.,10,,,,,,
criterion for,～の判断基準,2語で1つの意味,What is the criterion for passing?,10,,,,,,
intervention program,支援計画,2語で1つの意味,The intervention program helped.,10,,,,,,
peer pressure,仲間からの圧力,2語で1つの意味,Peer pressure affects choices.,10,,,,,,
self-discipline,自制心,2語で1つの意味,Self-discipline leads to success.,10,,,,,,
perseverance,粘り強さ,persevere（やり抜く）から,Perseverance pays off.,10,,,,,,
anxiety,不安,anxious（不安な）から,Test anxiety is common.,10,,,,,,
empathy,共感,,Empathy improves relationships.,10,,,,,,
bias toward,～への偏り,2語で1つの意味,We noticed a bias toward younger people.,10,,,,,,
adolescence,青年期,,Adolescence is a time of change.,10,,,,,,
upbringing,育ち、しつけ,bring up（育てる）から,His upbringing shaped him.,10,,,,,,
nurture talent,才能を育てる,2語で1つの意味,Schools should nurture talent.,10,,,,,,
