問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
family,家族,,My family has four people.,10,,,,,,
father,父,くだけた言い方は dad,My father is a doctor.,10,,,,,,
mother,母,くだけた言い方は mom,My mother cooks very well.,10,,,,,,
brother,兄、弟,英語では年上・年下を分けない,I have one brother.,10,,,,,,
sister,姉、妹,同じく年上・年下を分けない,My sister is a teacher.,10,,,,,,
grandfather,祖父,grand（一世代上）＋ father,My grandfather lives in Osaka.,10,,,,,,
grandmother,祖母,,My grandmother is eighty.,10,,,,,,
house,家、家屋,建物としての家,Our house is near the station.,10,,,,,,
home,家、家庭,帰る場所としての家。go home に to はつかない,I go home at five.,10,,,,,,
room,部屋,,My room is small but clean.,10,,,,,,
kitchen,台所,,My mother is in the kitchen.,10,,,,,,
door,ドア、戸,,Please close the door.,10,,,,,,
window,窓,,"Open the window, please.",10,,,,,,
table,テーブル、机,,The book is on the table.,10,,,,,,
chair,いす,,Sit on this chair.,10,,,,,,
bed,ベッド,go to bed で「寝る」,I go to bed at ten.,10,,,,,,
garden,庭,,We have a small garden.,10,,,,,,
key,かぎ,,Where is my key?,10,,,,,,
phone,電話,telephone を短くした形,My phone is on the desk.,10,,,,,,
picture,絵、写真,take a picture で「写真をとる」,This is a picture of my dog.,10,,,,,,
