問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
way,道、方法,意味が2つある,Could you tell me the way?,10,,,,,,
road,道路,,This road goes to the station.,10,,,,,,
bridge,橋,,Cross the bridge.,10,,,,,,
cross,横切る、渡る,,Cross the street carefully.,10,,,,,,
straight,まっすぐに,,Go straight for two blocks.,10,,,,,,
block,区画、ブロック,,The bank is two blocks away.,10,,,,,,
traffic light,信号,2語で1つの意味,Turn left at the traffic light.,10,,,,,,
sign,標識、署名する,意味が2つある,Look at that sign.,10,,,,,,
entrance,入口,enter（入る）から,The entrance is on this side.,10,,,,,,
exit,出口,,Use the north exit.,10,,,,,,
parking lot,駐車場,2語で1つの意味,The parking lot is full.,10,,,,,,
rooftop,屋上,roof（屋根）＋ top（上）,We can see the city from the rooftop.,10,,,,,,
basement,地下,,The food shop is in the basement.,10,,,,,,
center,中心,,The park is in the center of town.,10,,,,,,
north,北,,The station is to the north.,10,,,,,,
south,南,,Okinawa is in the south of Japan.,10,,,,,,
east,東,,The sun rises in the east.,10,,,,,,
west,西,,The sun sets in the west.,10,,,,,,
opposite,反対の、向かい側の,,The shop is opposite the bank.,10,,,,,,
below,～の下に,above の反対,My room is below yours.,10,,,,,,
