問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
genetically,遺伝的に,gene（遺伝子）から,The plants are genetically similar.,10,,,,,,
genetics,遺伝学,いつも複数の形だが単数として扱う,She studies genetics.,10,,,,,,
gentleman,紳士、男の方,,A gentleman held the door open.,10,,,,,,
geographical,地理の,geography（地理）から,It is a geographical problem.,10,,,,,,
geography,地理、地理学,,Geography is my favourite subject.,10,,,,,,
geology,地質学,,He teaches geology at the university.,10,,,,,,
giant,巨大な、巨人,意味が2つある,A giant tree stood there.,10,,,,,,
gifted,才能のある,gift（才能）から,She is a gifted pianist.,10,,,,,,
giggle,くすくす笑う,,The girls giggled at the joke.,10,,,,,,
ginger,しょうが,,Add a little ginger to the soup.,10,,,,,,
glide,すべるように動く,,The boat glided across the lake.,10,,,,,,
glimpse,ちらりと見ること,,I caught a glimpse of her face.,10,,,,,,
glint,きらりと光る,,The coin glinted in the sun.,10,,,,,,
global,地球全体の,globe（地球）から,It is a global problem.,10,,,,,,
glorious,すばらしい、栄光ある,glory（栄光）から,It was a glorious morning.,10,,,,,,
glory,栄光,,The team won glory that day.,10,,,,,,
goalkeeper,ゴールを守る選手,goal ＋ keeper,The goalkeeper stopped the ball.,10,,,,,,
goddess,女神,god（神）の女性をあらわす形,She played the goddess in the play.,10,,,,,,
golfer,ゴルフをする人,,He is a famous golfer.,10,,,,,,
goodness,よさ、善良さ,good から,She believes in the goodness of people.,10,,,,,,
