問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
unnecessary,不必要な,necessary の反対,That step is unnecessary.,10,,,,,,
unpleasant,不快な,pleasant の反対,There was an unpleasant smell.,10,,,,,,
unusual,めずらしい,usual の反対,It is unusual to see snow here.,10,,,,,,
upon,～の上に,on よりかたい言い方,"Once upon a time, there was a king.",10,,,,,,
used,中古の、慣れて,be used to ～ で「慣れている」,I bought a used bike.,10,,,,,,
usual,いつもの,usually（ふつう）から,We met at the usual place.,10,,,,,,
village,村,town より小さい,The village has 200 people.,10,,,,,,
violent,暴力的な,violence（暴力）から,The film is too violent.,10,,,,,,
visitor,訪問者,visit ＋ or,We had many visitors today.,10,,,,,,
walking,歩くこと,walk ＋ ing,Walking is good exercise.,10,,,,,,
wander,ぶらつく,wonder と混同しやすい,We wandered through the town.,10,,,,,,
washing machine,洗濯機,2語で1つの意味,The washing machine is broken.,10,,,,,,
weak,弱い,strong の反対,The signal is weak here.,10,,,,,,
wealth,富,wealthy（裕福な）から,Health is better than wealth.,10,,,,,,
web page,ウェブページ,2語で1つの意味,Open the web page.,10,,,,,,
wedding,結婚式,wed（結婚する）＋ ing,Their wedding is in June.,10,,,,,,
weep,泣く,cry よりかたい言い方,She wept quietly.,10,,,,,,
weigh,重さがある,weight（重さ）から,How much do you weigh?,10,,,,,,
well-known,有名な,2語で1つの意味,He is a well-known writer.,10,,,,,,
wet,ぬれた,dry の反対,My shoes are wet.,10,,,,,,
