問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
accordingly,それに応じて,according（従って）から,"Plans changed, and we acted accordingly.",10,,,,,,
consequently,その結果,consequence（結果）から,"It rained; consequently, we stayed in.",10,,,,,,
furthermore,さらに,,"Furthermore, the cost is lower.",10,,,,,,
moreover,そのうえ,furthermore とほぼ同じ,"Moreover, it saves time.",10,,,,,,
nevertheless,それにもかかわらず,,"Nevertheless, we tried again.",10,,,,,,
nonetheless,それでもなお,nevertheless とほぼ同じ,"Nonetheless, the plan worked.",10,,,,,,
hence,それゆえに,,"Hence, we changed the design.",10,,,,,,
thereby,それによって,,"He saved money, thereby avoiding debt.",10,,,,,,
whereas,～であるのに対して,,"He likes tea, whereas she prefers coffee.",10,,,,,,
meanwhile,その間に,,"Meanwhile, the others waited.",10,,,,,,
conversely,逆に,converse（逆の）から,"Conversely, prices may fall.",10,,,,,,
likewise,同様に,,"Likewise, we must be careful.",10,,,,,,
namely,すなわち,,"One thing is missing, namely trust.",10,,,,,,
notably,とくに、著しく,notable（注目すべき）から,"Sales rose, notably in spring.",10,,,,,,
primarily,主として,primary（主要な）から,It is primarily a safety issue.,10,,,,,,
essentially,本質的に,essential（本質的な）から,"Essentially, the answer is yes.",10,,,,,,
relatively,比較的,relative（相対的な）から,The task is relatively easy.,10,,,,,,
substantially,かなり,substantial（かなりの）から,Costs fell substantially.,10,,,,,,
ultimately,最終的に,ultimate（最終の）から,"Ultimately, it is your choice.",10,,,,,,
presumably,おそらく,presume（推定する）から,"Presumably, he forgot.",10,,,,,,
