問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
champagne,シャンパン,g を読まない,They opened champagne.,10,,,,,,
cheque,小切手,アメリカでは check,He paid by cheque.,10,,,,,,
chili,とうがらし,,This sauce has chili in it.,10,,,,,,
chimpanzee,チンパンジー,,The chimpanzee used a stick.,10,,,,,,
chirp,さえずる,,Birds chirp in the morning.,10,,,,,,
clone,クローン,,The sheep was a clone.,10,,,,,,
clown,ピエロ,,The clown made us laugh.,10,,,,,,
cola,コーラ,,"Two colas, please.",10,,,,,,
cooler,クーラーボックス,cool ＋ er,Put the drinks in the cooler.,10,,,,,,
correctly,正しく,correct（正しい）＋ ly,Answer correctly.,10,,,,,,
credit,信用、単位,意味が2つある,He paid by credit card.,10,,,,,,
cricket,クリケット、こおろぎ,意味が2つある,Cricket is popular in India.,10,,,,,,
crisp,ぱりっとした,,The lettuce is crisp.,10,,,,,,
cruise,船旅,,They went on a cruise.,10,,,,,,
curse,のろい,,The story tells of an old curse.,10,,,,,,
dam,ダム,,The dam holds back the river.,10,,,,,,
deal,取引、扱う,deal with ～ で「対処する」,That is a good deal.,10,,,,,,
description,説明、描写,describe（描写する）から,Write a short description.,10,,,,,,
disappointing,期待外れの,disappoint（失望させる）から,The result was disappointing.,10,,,,,,
disco,ディスコ,,They danced at the disco.,10,,,,,,
