問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
patient,患者、忍耐強い,意味が2つある,The doctor examined the patient.,10,,,,,,
treatment,治療、扱い,treat（治療する）＋ ment,The treatment was successful.,10,,,,,,
operation,手術、操作,意味が2つある,He had an operation last week.,10,,,,,,
injury,けが,injure（傷つける）から,He recovered from his injury.,10,,,,,,
recover,回復する,,She recovered from the flu.,10,,,,,,
symptom,症状,,A fever is a common symptom.,10,,,,,,
disease,病気,sick より重い病気に使う,This disease is rare.,10,,,,,,
dentist,歯医者,dental（歯の）から,I went to the dentist yesterday.,10,,,,,,
nutrition,栄養,,Good nutrition keeps you healthy.,10,,,,,,
diet,食事、ダイエット,意味が2つある,A balanced diet is important.,10,,,,,,
vitamin,ビタミン,,Oranges have a lot of vitamin C.,10,,,,,,
protein,たんぱく質,,Meat and beans have protein.,10,,,,,,
calorie,カロリー,,This cake has many calories.,10,,,,,,
stress,ストレス、強調する,意味が2つある,Too much stress is bad for you.,10,,,,,,
relax,くつろぐ,,I relax by listening to music.,10,,,,,,
breathe,呼吸する,名詞は breath,Breathe slowly and deeply.,10,,,,,,
muscle,筋肉,c を読まない,Exercise builds muscle.,10,,,,,,
blood,血,,The doctor checked my blood.,10,,,,,,
emergency,緊急事態,,Call this number in an emergency.,10,,,,,,
ambulance,救急車,,Someone called an ambulance.,10,,,,,,
