問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
shape,形,,What shape is it?,10,,,,,,
circle,円,,Draw a circle here.,10,,,,,,
square,正方形、広場,意味が2つある,The table is a square.,10,,,,,,
triangle,三角形,tri（3つ）＋ angle（角）,A triangle has three sides.,10,,,,,,
line,線、列,,Draw a straight line.,10,,,,,,
point,点、指さす,名詞にも動詞にも使う,He pointed at the map.,10,,,,,,
size,大きさ、サイズ,,What size do you wear?,10,,,,,,
weight,重さ,weigh（重さがある）から,What is the weight of this box?,10,,,,,,
height,高さ、身長,high（高い）から,What is your height?,10,,,,,,
length,長さ,long（長い）から,Measure the length of the desk.,10,,,,,,
heavy,重い,,This bag is too heavy.,10,,,,,,
thick,厚い、太い,,This book is thick.,10,,,,,,
thin,うすい、細い,,Cut the bread thin.,10,,,,,,
deep,深い,,The lake is very deep.,10,,,,,,
wide,広い、幅の広い,,This road is wide.,10,,,,,,
narrow,せまい,,The street is narrow.,10,,,,,,
empty,空の,,The box is empty.,10,,,,,,
full,いっぱいの,,The bus was full.,10,,,,,,
half,半分,複数形は halves,Cut it in half.,10,,,,,,
