問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
composer,作曲家,compose（作曲する）＋ er,He is a famous composer.,10,,,,,,
band,バンド、楽団,,He plays in a rock band.,10,,,,,,
concert hall,コンサートホール,2語で1つの意味,The concert hall is new.,10,,,,,,
violin,バイオリン,play the violin と the をつける,She plays the violin.,10,,,,,,
drum,ドラム、太鼓,,He plays the drums.,10,,,,,,
flute,フルート,,I want to learn the flute.,10,,,,,,
melody,メロディー、旋律,,This melody is beautiful.,10,,,,,,
rhythm,リズム,母音が少ない綴り,Feel the rhythm of the music.,10,,,,,,
stage,舞台,,She sang on the stage.,10,,,,,,
audience,観客、聴衆,ひとまとまりとして扱う,The audience clapped.,10,,,,,,
paint,絵の具でかく、ペンキ,名詞にも動詞にも使う,He painted a beautiful picture.,10,,,,,,
painting,絵画,paint（かく）＋ ing,This painting is famous.,10,,,,,,
drawing,線でかいた絵,draw（かく）＋ ing,Your drawing is very good.,10,,,,,,
photograph,写真,photo とも言う,I took a photograph of the sunset.,10,,,,,,
sculpture,彫刻,,The sculpture is made of stone.,10,,,,,,
design,デザイン、設計する,名詞にも動詞にも使う,I like the design of this bag.,10,,,,,,
novel,小説,,She wrote a famous novel.,10,,,,,,
poem,詩,,He read a poem aloud.,10,,,,,,
gallery,画廊、美術館,,The gallery opens at ten.,10,,,,,,
perform,演じる、演奏する,,They performed a play.,10,,,,,,
