問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
humidity,湿度,humid（湿った）から,The humidity is high today.,10,,,,,,
humid,湿気の多い,,Summer in Japan is humid.,10,,,,,,
forecast,予報、予測する,,The forecast says rain.,10,,,,,,
atmosphere,大気、雰囲気,意味が2つある,The atmosphere protects the earth.,10,,,,,,
altitude,高度、標高,,"The altitude is 2,000 meters.",10,,,,,,
latitude,緯度,,This city is at a high latitude.,10,,,,,,
longitude,経度,,Longitude is measured east and west.,10,,,,,,
continent,大陸,,Asia is the largest continent.,10,,,,,,
peninsula,半島,,Italy is a peninsula.,10,,,,,,
valley,谷,,The village lies in a valley.,10,,,,,,
cliff,がけ,,Do not stand near the cliff.,10,,,,,,
glacier,氷河,,The glacier is melting.,10,,,,,,
volcano,火山,複数形は volcanoes,The volcano erupted.,10,,,,,,
erupt,噴火する,eruption（噴火）から,The mountain erupted in 1990.,10,,,,,,
tide,潮,,The tide is coming in.,10,,,,,,
current,流れ、現在の,意味が2つある,The ocean current is strong.,10,,,,,,
breeze,そよ風,,A cool breeze blew.,10,,,,,,
storm,あらし,,The storm damaged the roof.,10,,,,,,
thunder,雷,,I heard thunder last night.,10,,,,,,
lightning,いなずま,,Lightning struck the tree.,10,,,,,,
