問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
agriculture,農業,,Agriculture is important here.,10,,,,,,
harvest,収穫、収穫する,,The rice harvest was good.,10,,,,,,
crop,作物,,Rice is the main crop.,10,,,,,,
livestock,家畜,数えない名詞,They raise livestock.,10,,,,,,
fertilizer,肥料,fertile（肥えた）から,They use organic fertilizer.,10,,,,,,
pesticide,農薬,,This farm avoids pesticides.,10,,,,,,
irrigation,かんがい,,Irrigation brings water to fields.,10,,,,,,
greenhouse,温室,green（緑）＋ house（家）,Tomatoes grow in the greenhouse.,10,,,,,,
soil,土壌,,The soil here is rich.,10,,,,,,
seed,種,,Plant the seeds in spring.,10,,,,,,
grain,穀物,,Wheat is a kind of grain.,10,,,,,,
dairy,乳製品の、酪農の,,Milk is a dairy product.,10,,,,,,
processed food,加工食品,2語で1つの意味,Processed food often has salt.,10,,,,,,
preservative,保存料,preserve（保存する）から,This has no preservatives.,10,,,,,,
food shortage,食料不足,2語で1つの意味,A food shortage hit the region.,10,,,,,,
famine,ききん,,The famine lasted two years.,10,,,,,,
nutrition label,栄養表示,2語で1つの意味,Read the nutrition label.,10,,,,,,
import food,輸入食品,2語で1つの意味,Japan relies on import food.,10,,,,,,
self-sufficiency,自給,2語で1つの意味,Food self-sufficiency is low.,10,,,,,,
cultivate,栽培する、耕す,,They cultivate vegetables.,10,,,,,,
