問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
magnet,磁石,,A magnet attracts iron.,10,,,,,,
thermometer,温度計,thermo（熱）＋ meter（計器）,Read the thermometer.,10,,,,,,
evaporate,蒸発する,,Water evaporates in the sun.,10,,,,,,
condensation,結露、凝結,condense（凝縮する）から,Condensation formed on the glass.,10,,,,,,
boiling point,沸点,2語で1つの意味,The boiling point of water is 100 degrees.,10,,,,,,
melting point,融点,2語で1つの意味,Ice has a low melting point.,10,,,,,,
lens,レンズ,,The lens bends the light.,10,,,,,,
reflection,反射,reflect（反射する）から,We studied light reflection.,10,,,,,,
friction,摩擦,,Friction slows the object.,10,,,,,,
mass,質量、かたまり,意味が2つある,Mass is different from weight.,10,,,,,,
density,密度,dense（密な）から,Oil has a lower density than water.,10,,,,,,
pressure,圧力,press（押す）から,Air pressure changes with height.,10,,,,,,
mineral,鉱物,,This rock contains minerals.,10,,,,,,
fossil,化石,,They found a dinosaur fossil.,10,,,,,,
layer,層,,The rock has many layers.,10,,,,,,
crust,地殻、パンの耳,意味が2つある,The earth crust is thin.,10,,,,,,
solar system,太陽系,2語で1つの意味,The solar system has eight planets.,10,,,,,,
orbit,軌道、周回する,,The moon orbits the earth.,10,,,,,,
satellite,衛星,,The moon is a natural satellite.,10,,,,,,
eclipse,食（日食・月食）,,We watched a solar eclipse.,10,,,,,,
