問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
subject,教科、話題,意味が2つある,My favorite subject is science.,10,,,,,,
grade,成績、学年,,I got a good grade in math.,10,,,,,,
report,報告、レポート,,I wrote a report about Japan.,10,,,,,,
dictionary,辞書,,Look it up in a dictionary.,10,,,,,,
textbook,教科書,text（本文）＋ book,Open your textbook to page ten.,10,,,,,,
blackboard,黒板,black（黒い）＋ board（板）,Look at the blackboard.,10,,,,,,
uniform,制服,uni（一つの）＋ form（形）,We wear a school uniform.,10,,,,,,
gym,体育館,gymnasium を短くした形,We play basketball in the gym.,10,,,,,,
playground,運動場、校庭,play（遊ぶ）＋ ground（土地）,Children play on the playground.,10,,,,,,
locker,ロッカー,,My locker is next to the door.,10,,,,,,
absent,欠席の,be absent from ～ の形で使う,He was absent from school.,10,,,,,,
present,出席の、贈りもの,意味が2つある,All students are present today.,10,,,,,,
exam,試験,examination を短くした形,I have an exam tomorrow.,10,,,,,,
score,点数、得点する,名詞にも動詞にも使う,My score was eighty.,10,,,,,,
prize,賞,,She won first prize.,10,,,,,,
speech,スピーチ、演説,speak（話す）から生まれた語,He made a speech in English.,10,,,,,,
festival,祭り、行事,,Our school festival is in October.,10,,,,,,
meeting,会議、集まり,meet（会う）＋ ing,We have a meeting after school.,10,,,,,,
member,一員、メンバー,,I am a member of the tennis club.,10,,,,,,
graduate,卒業する,,I will graduate next March.,10,,,,,,
