問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
terrify,こわがらせる,terrible（ひどい）から,The noise terrified the cat.,10,,,,,,
terrorist,テロリスト,,The news reported a terrorist attack.,10,,,,,,
text message,携帯メール,2語で1つの意味,Send me a text message.,10,,,,,,
thief,どろぼう,複数形は thieves,The thief ran away.,10,,,,,,
thirsty,のどがかわいた,hungry の仲間,I am very thirsty.,10,,,,,,
thought,考え,think（考える）から,That is an interesting thought.,10,,,,,,
thunderstorm,雷雨,thunder ＋ storm,A thunderstorm hit the town.,10,,,,,,
tidy,整った、片づける,,Keep your room tidy.,10,,,,,,
tie,ネクタイ、結ぶ,名詞にも動詞にも使う,Tie your shoelaces.,10,,,,,,
till,～まで,until とほぼ同じ,Wait till five.,10,,,,,,
toast,トースト、乾杯,意味が2つある,I had toast for breakfast.,10,,,,,,
toe,足の指,finger は手の指,I hurt my toe.,10,,,,,,
tone,調子、音色,,His tone was polite.,10,,,,,,
toothache,歯痛,tooth ＋ ache（痛み）,I have a toothache.,10,,,,,,
tour guide,観光案内人,2語で1つの意味,The tour guide spoke English.,10,,,,,,
tourist,観光客,tour（旅行）＋ ist,Many tourists visit Kyoto.,10,,,,,,
toward,～のほうへ,towards とも書く,He walked toward the station.,10,,,,,,
track,足あと、線路、競走路,意味が多い,The train track is closed.,10,,,,,,
traffic,交通量,数えない名詞,The traffic is heavy today.,10,,,,,,
tram,路面電車,,We took a tram downtown.,10,,,,,,
