問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
fiscal,財政の,,The fiscal year ends in March.,10,,,,,,
monetary,金融の、通貨の,,The bank changed monetary policy.,10,,,,,,
interest rate,金利,2語で1つの意味,Interest rates went up.,10,,,,,,
exchange rate,為替相場,2語で1つの意味,The exchange rate is unstable.,10,,,,,,
devaluation,価値の下落,devalue（価値を下げる）から,Devaluation hurt importers.,10,,,,,,
stagnation,停滞,stagnate（停滞する）から,The economy faced stagnation.,10,,,,,,
boom,好況、急成長,recession の反対,There was a housing boom.,10,,,,,,
speculation,投機、憶測,speculate（推測する）から,Speculation drove prices up.,10,,,,,,
portfolio,資産構成、作品集,意味が2つある,She reviewed her portfolio.,10,,,,,,
dividend,配当,,The company paid a dividend.,10,,,,,,
overhead,経費、間接費,,We reduced overhead costs.,10,,,,,,
turnover,売上高、離職率,意味が2つある,Staff turnover is high.,10,,,,,,
procurement,調達,,Procurement takes two months.,10,,,,,,
logistics,物流,,Logistics costs increased.,10,,,,,,
outsourcing,外部委託,out（外）＋ source（供給源）,Outsourcing lowered costs.,10,,,,,,
entrepreneur,起業家,,She is a young entrepreneur.,10,,,,,,
startup,新興企業,,The startup grew quickly.,10,,,,,,
venture capital,ベンチャー資金,2語で1つの意味,They raised venture capital.,10,,,,,,
sustainability,持続可能性,sustainable（持続可能な）から,Sustainability guides our plan.,10,,,,,,
consumption,消費,consume（消費する）から,Energy consumption fell.,10,,,,,,
