問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
beef,牛肉,,I do not eat beef.,10,,,,,,
chicken,とり肉、にわとり,意味が2つある,We had chicken for dinner.,10,,,,,,
turkey,七面鳥,,They eat turkey at Christmas.,10,,,,,,
butter,バター,数えない名詞,Put butter on the bread.,10,,,,,,
cheese,チーズ,数えない名詞,I like cheese on pizza.,10,,,,,,
cream,クリーム,,Add cream to the coffee.,10,,,,,,
chocolate,チョコレート,,This chocolate is sweet.,10,,,,,,
candy,あめ、菓子,,Do not eat too much candy.,10,,,,,,
cookie,クッキー,イギリスでは biscuit,She baked cookies.,10,,,,,,
biscuit,ビスケット,アメリカでは cookie,Have a biscuit with tea.,10,,,,,,
burger,ハンバーガー,hamburger を短くした形,I ate a burger for lunch.,10,,,,,,
hamburger,ハンバーガー,,This hamburger is big.,10,,,,,,
pizza,ピザ,,Let us order a pizza.,10,,,,,,
ice cream,アイスクリーム,2語で1つの意味,I want some ice cream.,10,,,,,,
ice,氷,数えない名詞,Put ice in the glass.,10,,,,,,
yogurt,ヨーグルト,,I eat yogurt every morning.,10,,,,,,
coke,コーラ,,"A coke, please.",10,,,,,,
meal,食事,,We had a good meal.,10,,,,,,
cafe,カフェ、喫茶店,,We met at a cafe.,10,,,,,,
picnic,ピクニック,,We had a picnic in the park.,10,,,,,,
