問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
Japan,日本,国名は大文字で始める,I live in Japan.,10,,,,,,
Japanese,日本の、日本語、日本人,意味が3つある,I speak Japanese.,10,,,,,,
America,アメリカ,,My uncle lives in America.,10,,,,,,
country,国、いなか,意味が2つある,Japan is a beautiful country.,10,,,,,,
language,言語、ことば,,English is a world language.,10,,,,,,
postcard,はがき,post（郵便）＋ card（カード）,I sent a postcard from Kyoto.,10,,,,,,
address,住所,,What is your address?,10,,,,,,
e-mail,電子メール,,I send an e-mail every day.,10,,,,,,
internet,インターネット,,I use the internet for study.,10,,,,,,
news,ニュース、知らせ,数えない名詞,I watch the news at seven.,10,,,,,,
story,話、物語,複数形は stories,Tell me a story.,10,,,,,,
word list,単語リスト,2語で1つの意味,I made a word list for the test.,10,,,,,,
place,場所,,This is a nice place.,10,,,,,,
thing,もの、こと,,I have many things to do.,10,,,,,,
work,仕事、働く,名詞にも動詞にも使う,My mother works at a bank.,10,,,,,,
job,仕事、職,一つ一つの仕事を指す,He has a new job.,10,,,,,,
life,生活、命,複数形は lives,School life is fun.,10,,,,,,
house work,家事,2語で1つの意味,I help with the house work.,10,,,,,,
welcome,ようこそ、歓迎する,You're welcome. は「どういたしまして」,Welcome to our school.,10,,,,,,
excuse,許す,Excuse me. で「すみません」,"Excuse me, where is the station?",10,,,,,,
