問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
accurate,正確な,,His answer was accurate.,10,,,,,,
available,利用できる、手に入る,,The book is available online.,10,,,,,,
basic,基本の,base（土台）から,These are the basic rules.,10,,,,,,
complex,複雑な,simple の反対,This is a complex problem.,10,,,,,,
constant,絶え間ない、一定の,,There was constant noise.,10,,,,,,
effective,効果的な,effect（効果）＋ ive,This is an effective way.,10,,,,,,
familiar,よく知っている,be familiar with ～ の形で使う,I am familiar with this song.,10,,,,,,
flexible,柔軟な,,Our schedule is flexible.,10,,,,,,
general,全体の、一般の,in general で「一般に」,That is the general opinion.,10,,,,,,
huge,巨大な,very big と同じ,They built a huge stadium.,10,,,,,,
essential,不可欠な,,Water is essential for life.,10,,,,,,
minor,小さい、重要でない,major の反対,It was a minor injury.,10,,,,,,
obvious,明らかな,,The answer is obvious.,10,,,,,,
particular,特定の、特別の,in particular で「とくに」,Is there a particular reason?,10,,,,,,
rare,まれな,,This is a rare bird.,10,,,,,,
reliable,信頼できる,rely（頼る）から,He is a reliable person.,10,,,,,,
sufficient,十分な,enough よりかたい言い方,We have sufficient time.,10,,,,,,
various,さまざまな,variety（多様さ）から,We tried various methods.,10,,,,,,
