問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
tin,すず、かんづめ,英国では「かん」も指す,She opened a tin of soup.,10,,,,,,
tiny,とても小さい,,A tiny insect landed on my hand.,10,,,,,,
tire,疲れさせる,米国では「タイヤ」の意味もある,Long walks tire me.,10,,,,,,
tiring,疲れさせる、骨の折れる,tire から,It was a tiring journey.,10,,,,,,
tobacco,たばこの葉,,The shop sells tobacco.,10,,,,,,
tongue,舌、ことば,意味が2つある,He burned his tongue.,10,,,,,,
toothpaste,歯みがき粉,tooth ＋ paste,We ran out of toothpaste.,10,,,,,,
tornado,竜巻,,A tornado hit the town.,10,,,,,,
toss,軽く投げる,,Toss me the ball.,10,,,,,,
totally,まったく、完全に,total（全体の）から,I totally agree.,10,,,,,,
tourism,観光業,tour（旅行）から,Tourism supports the island.,10,,,,,,
trace,跡、たどる,意味が2つある,There was no trace of the dog.,10,,,,,,
tracksuit,ジャージ、運動着,,He wore a blue tracksuit.,10,,,,,,
traditionally,伝統的に,tradition（伝統）から,"Traditionally, we eat fish here.",10,,,,,,
tragedy,悲劇,,The accident was a tragedy.,10,,,,,,
tragic,悲劇的な,tragedy から,It was a tragic loss.,10,,,,,,
trail,小道、あと,,We followed the mountain trail.,10,,,,,,
transitional,移り変わりの,transition（移り変わり）から,This is a transitional period.,10,,,,,,
transport,輸送、運ぶ,意味が2つある,Public transport is cheap here.,10,,,,,,
trash,ごみ,米国でよく使う言い方,Take out the trash.,10,,,,,,
