問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
confront,直面する、立ち向かう,,We confront a serious issue.,10,,,,,,
consult,相談する,,Consult your doctor first.,10,,,,,,
convert,変換する、改造する,,They converted the barn into a cafe.,10,,,,,,
coordinate,調整する,,She coordinates the schedule.,10,,,,,,
cope,対処する,cope with ～ の形で使う,He copes with stress well.,10,,,,,,
criticize,批判する,critic（批評家）から,Do not criticize without reason.,10,,,,,,
define,定義する,definition（定義）から,Define the term clearly.,10,,,,,,
delay departure,出発を遅らせる,2語で1つの意味,They delayed departure by an hour.,10,,,,,,
deny,否定する,,He denied the accusation.,10,,,,,,
depict,描く、表す,,The painting depicts a battle.,10,,,,,,
detect,見つける、検知する,,The sensor detects smoke.,10,,,,,,
differ,異なる,different（異なる）から,Opinions differ on this point.,10,,,,,,
discourage,思いとどまらせる,encourage の反対,Bad weather discouraged visitors.,10,,,,,,
display,展示する、表示,,The screen displays the time.,10,,,,,,
dispose,処分する,dispose of ～ の形で使う,Dispose of the trash properly.,10,,,,,,
distribute,配る、分配する,,They distributed the handouts.,10,,,,,,
dominate,支配する,dominant（支配的な）から,One team dominated the game.,10,,,,,,
emerge,現れる,,A new problem emerged.,10,,,,,,
endure,耐える,endurance（持久力）から,They endured the cold.,10,,,,,,
evolve,進化する,evolution（進化）から,Languages evolve over time.,10,,,,,,
