問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
ability,能力,able（できる）から,She has the ability to lead.,10,,,,,,
advantage,利点,take advantage of ～ で「利用する」,This plan has many advantages.,10,,,,,,
disadvantage,不利な点,dis（否定）＋ advantage,There is one disadvantage.,10,,,,,,
benefit,利益、恩恵,,Exercise has many benefits.,10,,,,,,
circumstance,状況、事情,ふつう複数形で使う,"Under these circumstances, we must wait.",10,,,,,,
consequence,結果、影響,,Think about the consequences.,10,,,,,,
contribution,貢献,contribute（貢献する）から,Her contribution was great.,10,,,,,,
definition,定義,define（定義する）から,Look up the definition.,10,,,,,,
emphasis,強調,emphasize（強調する）から,He put emphasis on safety.,10,,,,,,
estimate,見積もり、見積もる,,The estimate was too low.,10,,,,,,
function,機能、働く,,This machine has many functions.,10,,,,,,
impact,影響、衝撃,,The news had a big impact.,10,,,,,,
impression,印象,impress（印象づける）から,He made a good impression.,10,,,,,,
indication,兆候、しるし,indicate（示す）から,There is no indication of change.,10,,,,,,
intention,意図,intend（意図する）から,I had no intention of hurting you.,10,,,,,,
perspective,見方、観点,,Try a different perspective.,10,,,,,,
possibility,可能性,possible（可能な）から,There is a possibility of rain.,10,,,,,,
principle,原則、主義,,He acts on principle.,10,,,,,,
procedure,手順,,Follow the correct procedure.,10,,,,,,
significance,重要性,significant（重要な）から,The discovery has great significance.,10,,,,,,
