問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
accumulate data,データを蓄える,2語で1つの意味,They accumulate data every year.,10,,,,,,
attribute to,～に起因すると考える,2語で1つの意味,They attribute the rise to demand.,10,,,,,,
correspond,一致する、文通する,correspond to ～ の形で使う,The result corresponds to the theory.,10,,,,,,
deteriorate rapidly,急速に悪化する,2語で1つの意味,Conditions deteriorate rapidly in winter.,10,,,,,,
discourage from,～を思いとどまらせる,2語で1つの意味,The cost discouraged us from buying.,10,,,,,,
distinguish between,～の間を区別する,2語で1つの意味,Distinguish between fact and opinion.,10,,,,,,
embody,具体化する、体現する,,The design embodies simplicity.,10,,,,,,
enact a law,法律を制定する,3語で1つの意味,They enacted a law last year.,10,,,,,,
excel,ぬきんでる,excel at ～ の形で使う,She excels at mathematics.,10,,,,,,
fluctuate,変動する,,Prices fluctuate daily.,10,,,,,,
impose on,～に課す,2語で1つの意味,They imposed a tax on imports.,10,,,,,,
inherit from,～から受け継ぐ,2語で1つの意味,We inherit traits from parents.,10,,,,,,
interpret as,～と解釈する,2語で1つの意味,She interpreted it as a refusal.,10,,,,,,
presume that,～と推定する,2語で1つの意味,We presume that he agreed.,10,,,,,,
prohibit from,～を禁じる,2語で1つの意味,The rule prohibits us from parking.,10,,,,,,
resort to,～に頼る、訴える,2語で1つの意味,Do not resort to violence.,10,,,,,,
strive,努力する,strive for ～ の形で使う,They strive for excellence.,10,,,,,,
subject to change,変更されることがある,3語で1つの意味,The schedule is subject to change.,10,,,,,,
tolerate,許容する、耐える,tolerance（寛容）から,We cannot tolerate cheating.,10,,,,,,
yield results,結果を生む,2語で1つの意味,The method yields results quickly.,10,,,,,,
