問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
error,誤り,,There is an error in line 3.,10,,,,,,
escalator,エスカレーター,,Take the escalator to the third floor.,10,,,,,,
euro,ユーロ,,It costs twenty euros.,10,,,,,,
ever,今までに,,Have you ever been to Kyoto?,10,,,,,,
exactly,正確に、まさに,exact（正確な）＋ ly,That is exactly right.,10,,,,,,
except,～を除いて,,Everyone came except Ken.,10,,,,,,
exist,存在する,existence（存在）から,Does life exist on Mars?,10,,,,,,
expert,専門家,,She is an expert on birds.,10,,,,,,
explanation,説明,explain（説明する）から,Thank you for the explanation.,10,,,,,,
explore,探検する,,We explored the cave.,10,,,,,,
express,表す、急行,意味が2つある,Express your opinion clearly.,10,,,,,,
expression,表現、表情,意味が2つある,That is a useful expression.,10,,,,,,
extra,余分の,,We need an extra chair.,10,,,,,,
fact,事実,in fact で「実際は」,That is a well-known fact.,10,,,,,,
fairly,かなり、公平に,意味が2つある,The test was fairly easy.,10,,,,,,
fancy,高級な、思いつく,,That is a fancy restaurant.,10,,,,,,
fantastic,すばらしい,,The show was fantastic.,10,,,,,,
fascinating,魅力的な,fascinate（魅了する）から,The story is fascinating.,10,,,,,,
fashion,流行、ファッション,,She works in fashion.,10,,,,,,
fast food,ファストフード,2語で1つの意味,Fast food is convenient.,10,,,,,,
