問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
uncontrollable,おさえられない,control の打ち消しから,He had uncontrollable laughter.,10,,,,,,
uncover,おおいを取る、あばく,cover（おおう）の打ち消し,They uncovered the truth.,10,,,,,,
underage,年齢に達していない,under ＋ age,Underage drinking is banned.,10,,,,,,
undergo,経験する、受ける,under ＋ go,He will undergo an operation.,10,,,,,,
underneath,〜の下に,under を強めた言い方,The cat hid underneath the bed.,10,,,,,,
underpants,下着のパンツ,いつも複数の形で使う,He packed clean underpants.,10,,,,,,
undo,元にもどす、ほどく,do の打ち消し,You cannot undo the past.,10,,,,,,
undress,服を脱ぐ,dress（服を着る）の打ち消し,The child undressed quickly.,10,,,,,,
unemployed,失業した,employ（やとう）の打ち消しから,He has been unemployed for a year.,10,,,,,,
unexpected,思いがけない,expect（予期する）の打ち消しから,We had an unexpected visitor.,10,,,,,,
unexpectedly,思いがけなく,,She arrived unexpectedly.,10,,,,,,
unfairly,不公平に,fair（公平な）の打ち消しから,He was treated unfairly.,10,,,,,,
unfit,適していない、体調のよくない,fit の打ち消し,The water is unfit to drink.,10,,,,,,
unfold,広げる、明らかになる,fold（たたむ）の打ち消し,She unfolded the map.,10,,,,,,
unfortunate,不運な,fortunate（運のよい）の打ち消し,It was an unfortunate accident.,10,,,,,,
unfriendly,親しみのない、よそよそしい,friendly の打ち消し,The clerk seemed unfriendly.,10,,,,,,
unheard,聞き入れられない,unheard of（前代未聞の）でよく使う,Her plea went unheard.,10,,,,,,
unify,1つにまとめる,uni（1つ）から,The leader unified the country.,10,,,,,,
uninterested,興味のない,interested の打ち消し,He looked uninterested.,10,,,,,,
uninteresting,おもしろくない,interesting の打ち消し,The lecture was uninteresting.,10,,,,,,
