問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
relate,関係づける、話す,,The two events relate closely.,10,,,,,,
relation,関係、親類,意味が2つある,There is no relation between them.,10,,,,,,
relative,相対的な、比較の,「親類」の意味の名詞もある,It is a relative advantage.,10,,,,,,
relaxing,くつろがせる,relax（くつろぐ）から,The music is relaxing.,10,,,,,,
religious,宗教の、信心深い,religion（宗教）から,It is a religious festival.,10,,,,,,
rely,たよる,rely on の形でよく使う,You can rely on her.,10,,,,,,
remark,発言、述べる,意味が2つある,He made a kind remark.,10,,,,,,
remembrance,記憶、追悼,remember から,They planted a tree in remembrance.,10,,,,,,
remote control,リモコン,2語で1つの意味,Where is the remote control?,10,,,,,,
renew,更新する、新しくする,re（再び）＋ new,I renewed my passport.,10,,,,,,
repay,返済する、報いる,re（元へ）＋ pay,He repaid the loan.,10,,,,,,
repeatedly,くり返し,repeat（くり返す）から,She asked repeatedly.,10,,,,,,
representative,代表者,represent（代表する）から,Each class sends a representative.,10,,,,,,
reproduce,複製する、繁殖する,意味が2つある,The picture was reproduced in the book.,10,,,,,,
requirement,必要なもの、要件,require（必要とする）から,Meet all the requirements.,10,,,,,,
researcher,研究者,research（研究）から,The researcher published a paper.,10,,,,,,
resemble,似ている,,She resembles her mother.,10,,,,,,
residential,住宅の,resident（住民）から,This is a residential area.,10,,,,,,
resolve,解決する、決意する,意味が2つある,They resolved the dispute.,10,,,,,,
resort,行楽地、たよること,意味が2つある,We stayed at a ski resort.,10,,,,,,
