問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
information source,情報源,2語で1つの意味,Check the information source.,10,,,,,,
reference book,参考書,2語で1つの意味,Use a reference book.,10,,,,,,
article text,記事の本文,2語で1つの意味,Read the article text carefully.,10,,,,,,
journal,日誌、専門誌,意味が2つある,Keep a learning journal.,10,,,,,,
report card,通知表,2語で1つの意味,I got my report card.,10,,,,,,
record of,～の記録,2語で1つの意味,Keep a record of your study.,10,,,,,,
note taking,ノートの取り方,2語で1つの意味,Note taking helps memory.,10,,,,,,
review sheet,復習用のプリント,2語で1つの意味,Finish the review sheet.,10,,,,,,
practice test,模擬テスト,2語で1つの意味,We took a practice test.,10,,,,,,
study plan,学習計画,2語で1つの意味,Make a study plan.,10,,,,,,
time management,時間の使い方,2語で1つの意味,Time management is a skill.,10,,,,,,
concentration time,集中できる時間,2語で1つの意味,My concentration time is 40 minutes.,10,,,,,,
memory method,記憶のしかた,2語で1つの意味,Find a memory method that fits you.,10,,,,,,
mistake note,間違いノート,2語で1つの意味,Keep a mistake note.,10,,,,,,
weak point,苦手な点,2語で1つの意味,Work on your weak points.,10,,,,,,
strong point,得意な点,2語で1つの意味,Use your strong points.,10,,,,,,
learning app,学習アプリ,2語で1つの意味,This learning app is useful.,10,,,,,,
digital textbook,デジタル教科書,2語で1つの意味,We use a digital textbook.,10,,,,,,
search result,検索結果,2語で1つの意味,Check the search result carefully.,10,,,,,,
reliable source,信頼できる情報源,2語で1つの意味,Use a reliable source.,10,,,,,,
