問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
dizzy,めまいがする,,I feel dizzy.,10,,,,,,
downstairs,階下へ,upstairs の反対,She went downstairs.,10,,,,,,
upstairs,階上へ,downstairs の反対,My room is upstairs.,10,,,,,,
dressed,服を着た,dress（着せる）から,Get dressed quickly.,10,,,,,,
drug,薬、麻薬,意味が2つある,This drug needs a prescription.,10,,,,,,
drugstore,薬局,drug ＋ store,Buy it at the drugstore.,10,,,,,,
dust,ほこり,,Wipe the dust off the shelf.,10,,,,,,
earn,かせぐ,,He earns money by working.,10,,,,,,
earring,イヤリング,ear ＋ ring,She lost one earring.,10,,,,,,
easily,簡単に,easy（簡単な）＋ ly,I found it easily.,10,,,,,,
educational,教育的な,education（教育）から,This is an educational program.,10,,,,,,
elsewhere,ほかの場所で,else ＋ where,Look elsewhere for it.,10,,,,,,
email,電子メール,e-mail とも書く,Send me an email.,10,,,,,,
embarrassing,恥ずかしい,embarrass（恥をかかせる）から,That was an embarrassing moment.,10,,,,,,
ending,結末,end（終わる）＋ ing,The ending was sad.,10,,,,,,
energetic,元気いっぱいの,energy（活力）から,She is very energetic.,10,,,,,,
enormous,巨大な,huge とほぼ同じ,The building is enormous.,10,,,,,,
envelope,封筒,,Put the letter in an envelope.,10,,,,,,
envy,うらやむ,,I envy your talent.,10,,,,,,
episode,一話、できごと,,I watched the first episode.,10,,,,,,
