問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
mitigation,緩和,mitigate（やわらげる）から,Climate mitigation costs money.,10,,,,,,
adaptation to,～への適応,2語で1つの意味,Adaptation to climate change is urgent.,10,,,,,,
carbon footprint,炭素排出量,2語で1つの意味,Reduce your carbon footprint.,10,,,,,,
neutrality,中立、中和,neutral（中立の）から,They aim for carbon neutrality.,10,,,,,,
offset,相殺する、埋め合わせ,,Tree planting offsets emissions.,10,,,,,,
depletion,枯渇,deplete（使い果たす）から,Resource depletion is a risk.,10,,,,,,
degradation,悪化、劣化,degrade（劣化させる）から,Soil degradation is spreading.,10,,,,,,
erosion,侵食,erode（侵食する）から,Coastal erosion is severe.,10,,,,,,
sustainable development,持続可能な開発,2語で1つの意味,Sustainable development is the goal.,10,,,,,,
renewable energy,再生可能エネルギー,2語で1つの意味,Renewable energy is growing.,10,,,,,,
geothermal,地熱の,geo（地）＋ thermal（熱の）,Japan has geothermal potential.,10,,,,,,
hydrogen,水素,,Hydrogen may fuel cars.,10,,,,,,
emission standard,排出基準,2語で1つの意味,The emission standard is strict.,10,,,,,,
ozone layer,オゾン層,2語で1つの意味,The ozone layer is recovering.,10,,,,,,
acid rain,酸性雨,2語で1つの意味,Acid rain damages forests.,10,,,,,,
microplastic,マイクロプラスチック,micro（微小）＋ plastic,Microplastics pollute the sea.,10,,,,,,
conservation area,保護区,2語で1つの意味,This is a conservation area.,10,,,,,,
reforestation,再植林,re（再び）＋ forest（森）,Reforestation restores habitats.,10,,,,,,
irrigation system,かんがい設備,2語で1つの意味,The irrigation system was upgraded.,10,,,,,,
desertification,砂漠化,desert（砂漠）から,Desertification threatens farmland.,10,,,,,,
