問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
union,組合、連合,,He joined the workers union.,10,,,,,,
unite,団結する、1つになる,unity（統一）の仲間,The villages united against the plan.,10,,,,,,
universe,宇宙,,The universe is still expanding.,10,,,,,,
unlikely,ありそうにない,likely（ありそうな）の打ち消し,It is unlikely to rain.,10,,,,,,
unlucky,運の悪い,lucky の打ち消し,He was unlucky to miss the train.,10,,,,,,
unpack,荷物をほどく,pack（詰める）の打ち消し,She unpacked her suitcase.,10,,,,,,
unpredictable,予測できない,predict（予測する）の打ち消しから,The weather is unpredictable.,10,,,,,,
unrelated,関係のない,related（関係のある）の打ち消し,The two cases are unrelated.,10,,,,,,
untidy,散らかった,tidy（きちんとした）の打ち消し,His desk is untidy.,10,,,,,,
unusually,異常に、いつになく,unusual（異常な）から,It is unusually warm today.,10,,,,,,
unwanted,望まれない、いらない,want の打ち消しから,We donated the unwanted clothes.,10,,,,,,
unwell,気分がすぐれない,well の打ち消し,She felt unwell after lunch.,10,,,,,,
up-to-date,最新の,out-of-date（時代おくれの）と対で使う,The list is up-to-date.,10,,,,,,
uplifted,気持ちが高まった,uplift（高める）から,The song left us uplifted.,10,,,,,,
upload,送り上げる、アップロードする,download（取りこむ）と対で使う,Upload the photo here.,10,,,,,,
upper,上のほうの,lower（下のほうの）と対で使う,The book is on the upper shelf.,10,,,,,,
upward,上向きの,downward（下向きの）と対で使う,Prices took an upward turn.,10,,,,,,
urge,強くすすめる、衝動,意味が2つある,I urge you to think again.,10,,,,,,
urgent,急を要する,urge から,This is an urgent matter.,10,,,,,,
usage,使い方、語法,use から,This dictionary explains usage.,10,,,,,,
