問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
fool,ばか者、だます,,Do not fool your friends.,10,,,,,,
forbid,禁じる,allow の反対,The rule forbids running.,10,,,,,,
force,力、強制する,名詞にも動詞にも使う,Do not force the door.,10,,,,,,
forever,永遠に,for ＋ ever,Nothing lasts forever.,10,,,,,,
fortunately,幸いにも,fortunate（幸運な）から,"Fortunately, no one was hurt.",10,,,,,,
unfortunately,残念ながら,fortunately の反対,"Unfortunately, it rained.",10,,,,,,
fortune,幸運、財産,意味が2つある,He made a fortune.,10,,,,,,
forward,前へ,backward の反対,"Step forward, please.",10,,,,,,
frame,枠、額縁,,Put the photo in a frame.,10,,,,,,
freedom,自由,free（自由な）から,Freedom comes with responsibility.,10,,,,,,
freeze,こおる,frozen（こおった）から,Water freezes at zero degrees.,10,,,,,,
fridge,冷蔵庫,refrigerator を短くした形,The milk is in the fridge.,10,,,,,,
fried,あげた、いためた,fry（あげる）から,I ate fried chicken.,10,,,,,,
friendship,友情,friend ＋ ship,Our friendship lasted years.,10,,,,,,
frightened,おびえた,frighten（こわがらせる）から,The child was frightened.,10,,,,,,
fully,完全に,full（いっぱいの）＋ ly,The room is fully booked.,10,,,,,,
further,さらに、もっと遠く,far の比較級,We need further information.,10,,,,,,
garlic,にんにく,,Add a little garlic.,10,,,,,,
gas,気体、ガソリン,意味が2つある,The car needs gas.,10,,,,,,
gate,門,,Meet me at the gate.,10,,,,,,
