問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
great,すばらしい、大きな,,That is a great idea.,10,,,,,,
cute,かわいい,,The puppy is cute.,10,,,,,,
scary,こわい,scare（こわがらせる）から,That story is scary.,10,,,,,,
yummy,おいしい,子どもがよく使う言い方,This cake is yummy.,10,,,,,,
sleepy face,ねむそうな顔,2語で1つの意味,He has a sleepy face.,10,,,,,,
smile,ほほえむ、笑顔,名詞にも動詞にも使う,She has a nice smile.,10,,,,,,
laugh,笑う,gh を読まない,We laughed a lot.,10,,,,,,
cry,泣く、さけぶ,,The baby is crying.,10,,,,,,
shout,さけぶ,,Do not shout in the hall.,10,,,,,,
whisper,ささやく,,She whispered in my ear.,10,,,,,,
clap,拍手する,,Everyone clapped.,10,,,,,,
cheer up,元気づける,2語で1つの意味,"Cheer up, it will be fine.",10,,,,,,
miss,恋しく思う、のがす,意味が2つある,I miss my old school.,10,,,,,,
worry,心配する,worried（心配して）から,Do not worry about it.,10,,,,,,
brave face,平気そうな顔,2語で1つの意味,He put on a brave face.,10,,,,,,
thankful,感謝している,thank（感謝する）＋ ful,I am thankful for your help.,10,,,,,,
sorry for,～を申し訳なく思う,2語で1つの意味,I am sorry for the delay.,10,,,,,,
proud of,～を誇りに思う,2語で1つの意味,I am proud of my class.,10,,,,,,
