問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
smoothly,なめらかに,smooth（なめらかな）＋ ly,The event went smoothly.,10,,,,,,
snack,軽食、おやつ,,Bring a snack for the trip.,10,,,,,,
snowboarding,スノーボード,,Snowboarding looks difficult.,10,,,,,,
sock,くつ下の片方,両方は socks,One sock has a hole.,10,,,,,,
soda,炭酸飲料,,I ordered a soda.,10,,,,,,
soft,やわらかい,hard の反対,The pillow is soft.,10,,,,,,
soft drink,清涼飲料,2語で1つの意味,Soft drinks are sold here.,10,,,,,,
softly,やさしく、そっと,soft（やわらかい）＋ ly,She spoke softly.,10,,,,,,
soldier,兵士,,The soldier stood still.,10,,,,,,
somebody,だれか,someone とほぼ同じ,Somebody is knocking.,10,,,,,,
spaceship,宇宙船,space ＋ ship,The spaceship left the earth.,10,,,,,,
spaghetti,スパゲッティ,,I cooked spaghetti.,10,,,,,,
speaker,話し手、スピーカー,意味が2つある,The speaker was very clear.,10,,,,,,
spill,こぼす,,Do not spill the water.,10,,,,,,
splash,水をはねかける,,The kids splashed in the pool.,10,,,,,,
split,分ける、裂ける,過去形も split,Let us split the bill.,10,,,,,,
sports center,スポーツ施設,2語で1つの意味,The sports center opens at nine.,10,,,,,,
stair,階段の1段,全体は stairs,Watch the last stair.,10,,,,,,
stamp,切手、印,,Put a stamp on the letter.,10,,,,,,
state,状態、州、述べる,意味が多い,The house is in a bad state.,10,,,,,,
