問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
bathroom,浴室、トイレ,bath ＋ room,The bathroom is upstairs.,10,,,,,,
bedroom,寝室,bed ＋ room,My bedroom is small.,10,,,,,,
living room,居間,2語で1つの意味,We watch TV in the living room.,10,,,,,,
dining room,食堂,2語で1つの意味,Dinner is in the dining room.,10,,,,,,
toilet,トイレ,,Where is the toilet?,10,,,,,,
hall,広間、玄関,,The hall was full of people.,10,,,,,,
yard,庭、ヤード,意味が2つある,The kids play in the yard.,10,,,,,,
couch,ソファー,sofa とほぼ同じ,He is sleeping on the couch.,10,,,,,,
sofa,ソファー,,Sit on the sofa.,10,,,,,,
bowl,どんぶり、ボウル,,Put the rice in a bowl.,10,,,,,,
brush,ブラシ、みがく,名詞にも動詞にも使う,Brush your teeth.,10,,,,,,
bucket,バケツ,,Fill the bucket with water.,10,,,,,,
cloth,布,複数形は cloths,Wipe it with a cloth.,10,,,,,,
vase,花びん,,Put the flowers in the vase.,10,,,,,,
doll,人形,,She has a big doll.,10,,,,,,
toy,おもちゃ,,The room is full of toys.,10,,,,,,
ribbon,リボン,,She wore a red ribbon.,10,,,,,,
bell,ベル、鐘,,The bell rang at noon.,10,,,,,,
telephone,電話,phone を短くした形,Answer the telephone.,10,,,,,,
television,テレビ,TV を短くした形,Turn off the television.,10,,,,,,
