問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
permanent,永続的な,temporary の反対,He got a permanent position.,10,,,,,,
prominent,目立つ、著名な,,She is a prominent scientist.,10,,,,,,
radical,急進的な、根本的な,,They proposed a radical change.,10,,,,,,
rational,理性的な、合理的な,,Make a rational decision.,10,,,,,,
remarkable,注目すべき,remark（述べる）から,That is a remarkable achievement.,10,,,,,,
rigid,硬い、厳格な,flexible の反対,The rules are too rigid.,10,,,,,,
severe,厳しい、深刻な,,The winter was severe.,10,,,,,,
sophisticated,洗練された、高度な,,This is a sophisticated system.,10,,,,,,
steady,安定した,,There was steady growth.,10,,,,,,
strict,厳しい,,Our teacher is strict.,10,,,,,,
superior,すぐれた、上位の,inferior の反対,This model is superior.,10,,,,,,
inferior,劣った,superior の反対,The copy is inferior.,10,,,,,,
thorough,徹底的な,,They made a thorough check.,10,,,,,,
tremendous,途方もない,,It was a tremendous success.,10,,,,,,
ultimate,最終的な、究極の,,That is our ultimate goal.,10,,,,,,
unique,独特の、唯一の,,Each fingerprint is unique.,10,,,,,,
universal,普遍的な、全世界の,,Music is a universal language.,10,,,,,,
valid,有効な、妥当な,,The ticket is valid for a month.,10,,,,,,
vulnerable,傷つきやすい,,Children are vulnerable.,10,,,,,,
worthwhile,価値のある,worth（価値）＋ while,The trip was worthwhile.,10,,,,,,
