問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
amount,量,数えられないものに使う,A large amount of water was used.,10,,,,,,
quantity,量、数量,,We need a small quantity of salt.,10,,,,,,
quality,質,quantity の対になる語,The quality of this cloth is good.,10,,,,,,
average,平均、平均の,,The average score was seventy.,10,,,,,,
total,合計、全体の,,The total is one thousand yen.,10,,,,,,
percent,パーセント,,Twenty percent of students agreed.,10,,,,,,
rate,割合、速度,意味が2つある,The success rate is high.,10,,,,,,
per,～につき,per person で「1人につき」,It costs 500 yen per person.,10,,,,,,
double,2倍の、2倍にする,,The price is double.,10,,,,,,
single,1つの、独身の,意味が2つある,Not a single person came.,10,,,,,,
several,いくつかの,some より少し多い,I read several books.,10,,,,,,
plenty,たくさん,plenty of ～ の形で使う,We have plenty of time.,10,,,,,,
quite,かなり、まったく,,It was quite difficult.,10,,,,,,
nearly,ほとんど、もう少しで,almost とほぼ同じ,It is nearly ten o clock.,10,,,,,,
extremely,非常に,,It was extremely cold.,10,,,,,,
slightly,わずかに,slight（わずかな）＋ ly,The price rose slightly.,10,,,,,,
approximately,およそ,about よりかたい言い方,It takes approximately one hour.,10,,,,,,
maximum,最大の,minimum の反対,The maximum speed is 60.,10,,,,,,
minimum,最小の,maximum の反対,The minimum age is 18.,10,,,,,,
additional,追加の,add（加える）から,There is an additional fee.,10,,,,,,
