問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
instruction,指示、教育,instruct（指示する）から,Follow the instructions.,10,,,,,,
guidance,指導、案内,guide（導く）から,She gave me helpful guidance.,10,,,,,,
tutor,家庭教師,,He works as a tutor.,10,,,,,,
mentor,助言者,,My mentor gave me advice.,10,,,,,,
counselor,相談員,,Talk to the school counselor.,10,,,,,,
curriculum change,教育課程の変更,2語で1つの意味,The curriculum change starts next year.,10,,,,,,
enrollment,入学、登録,enroll（入学する）から,Enrollment increased this year.,10,,,,,,
tuition,授業料,,Tuition is expensive.,10,,,,,,
dormitory,寮,dorm と短く言うこともある,She lives in a dormitory.,10,,,,,,
extracurricular,課外の,extra（外の）＋ curricular,He joined extracurricular activities.,10,,,,,,
discipline rule,規律の決まり,2語で1つの意味,The school has strict discipline rules.,10,,,,,,
bully,いじめる、いじめっ子,,Do not bully others.,10,,,,,,
literacy,読み書きの能力,,Literacy rates are high here.,10,,,,,,
numeracy,計算力,,Numeracy is taught early.,10,,,,,,
achievement,達成、業績,achieve（達成する）から,That was a great achievement.,10,,,,,,
aptitude,適性,,She has an aptitude for music.,10,,,,,,
evaluation,評価,evaluate（評価する）から,The evaluation was positive.,10,,,,,,
feedback,意見、反応,数えない名詞,Thank you for your feedback.,10,,,,,,
workshop,講習会、作業場,意味が2つある,I attended a writing workshop.,10,,,,,,
internship,就業体験,intern（研修生）＋ ship,She did a summer internship.,10,,,,,,
