問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
city hall,市役所,2語で1つの意味,Go to the city hall for the form.,10,,,,,,
ward office,区役所,2語で1つの意味,The ward office opens at nine.,10,,,,,,
community center,公民館,2語で1つの意味,The meeting is at the community center.,10,,,,,,
public facility,公共施設,2語で1つの意味,This is a public facility.,10,,,,,,
resident register,住民票,2語で1つの意味,I need a resident register copy.,10,,,,,,
neighborhood association,自治会,2語で1つの意味,The neighborhood association cleaned the park.,10,,,,,,
garbage separation,ごみの分別,2語で1つの意味,Garbage separation is required.,10,,,,,,
recycling bin,資源回収箱,2語で1つの意味,Put cans in the recycling bin.,10,,,,,,
water works,水道局,2語で1つの意味,Call the water works office.,10,,,,,,
power outage,停電,2語で1つの意味,A power outage hit the area.,10,,,,,,
local election,地方選挙,2語で1つの意味,The local election is in April.,10,,,,,,
city council member,市議会議員,3語で1つの意味,A city council member visited us.,10,,,,,,
public hearing,公聴会,2語で1つの意味,They held a public hearing.,10,,,,,,
volunteer group,ボランティア団体,2語で1つの意味,A volunteer group cleaned the river.,10,,,,,,
donation drive,募金活動,2語で1つの意味,We joined a donation drive.,10,,,,,,
senior center,高齢者施設,2語で1つの意味,We visited a senior center.,10,,,,,,
day care,保育、託児,2語で1つの意味,The day care is full.,10,,,,,,
barrier free,バリアフリーの,2語で1つの意味,The station is barrier free.,10,,,,,,
universal design,ユニバーサルデザイン,2語で1つの意味,Universal design helps everyone.,10,,,,,,
sister city,姉妹都市,2語で1つの意味,We have a sister city abroad.,10,,,,,,
