問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
organism,生物,,A cell is a living organism.,10,,,,,,
mammal,哺乳類,,Whales are mammals.,10,,,,,,
reptile,は虫類,,Snakes are reptiles.,10,,,,,,
amphibian,両生類,,Frogs are amphibians.,10,,,,,,
predator,捕食動物,,Lions are predators.,10,,,,,,
prey,獲物,,The rabbit was easy prey.,10,,,,,,
migration,移動、渡り,migrate（移動する）から,Bird migration begins in autumn.,10,,,,,,
hibernate,冬眠する,,Bears hibernate in winter.,10,,,,,,
evolution,進化,evolve（進化する）から,Evolution takes a long time.,10,,,,,,
genetic,遺伝の,gene（遺伝子）から,This is a genetic trait.,10,,,,,,
cell,細胞、独房,意味が2つある,The body has many cells.,10,,,,,,
bacteria,細菌,単数形は bacterium,Some bacteria are helpful.,10,,,,,,
fungus,菌類,複数形は fungi,Mushrooms are a kind of fungus.,10,,,,,,
photosynthesis,光合成,photo（光）＋ synthesis（合成）,Plants use photosynthesis.,10,,,,,,
nutrient,栄養素,nutrition（栄養）から,Soil provides nutrients.,10,,,,,,
food chain,食物連鎖,2語で1つの意味,The food chain is complex.,10,,,,,,
adaptation,適応,adapt（適応する）から,This is a clever adaptation.,10,,,,,,
extinction,絶滅,extinct（絶滅した）から,Extinction is permanent.,10,,,,,,
wildlife,野生生物,wild（野生の）＋ life（生き物）,We must protect wildlife.,10,,,,,,
vegetation,植生、草木,,The vegetation is thick here.,10,,,,,,
