問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
enzyme,酵素,,Enzymes speed up reactions.,10,,,,,,
hormone,ホルモン,,Hormones control growth.,10,,,,,,
membrane,膜,,The cell membrane controls what enters.,10,,,,,,
nucleus,核,複数形は nuclei,The nucleus holds the DNA.,10,,,,,,
mitosis,体細胞分裂,,Mitosis makes two identical cells.,10,,,,,,
heredity,遺伝,inherit（受け継ぐ）から,Heredity explains family traits.,10,,,,,,
dominant trait,優性形質,2語で1つの意味,Brown eyes are a dominant trait.,10,,,,,,
recessive,劣性の,dominant の対,Blue eyes are recessive.,10,,,,,,
ecosystem balance,生態系の均衡,2語で1つの意味,Ecosystem balance is fragile.,10,,,,,,
decomposer,分解者,decompose（分解する）から,Fungi act as decomposers.,10,,,,,,
producer,生産者、製作者,意味が2つある,Plants are producers.,10,,,,,,
consumer,消費者,consume（消費する）から,Animals are consumers.,10,,,,,,
sediment,堆積物,,Sediment settles at the bottom.,10,,,,,,
erosion process,侵食の過程,2語で1つの意味,The erosion process took centuries.,10,,,,,,
tectonic plate,プレート,2語で1つの意味,Tectonic plates move slowly.,10,,,,,,
seismic,地震の,,Seismic waves travel fast.,10,,,,,,
magma,マグマ,,Magma rises to the surface.,10,,,,,,
atmosphere layer,大気の層,2語で1つの意味,Study each atmosphere layer.,10,,,,,,
front,前線、正面,意味が2つある,A cold front is approaching.,10,,,,,,
air mass,気団,2語で1つの意味,A warm air mass moved in.,10,,,,,,
