問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
limitation,限界、制約,limit（制限）から,Everyone has limitations.,10,,,,,,
limited,限られた,limit から,We have limited time.,10,,,,,,
limp,足を引きずって歩く,,He limped off the field.,10,,,,,,
link,つなぐ、つながり,意味が2つある,The bridge links two towns.,10,,,,,,
liquid,液体の、液体,意味が2つある,Pour the liquid slowly.,10,,,,,,
literary,文学の,literature（文学）から,She won a literary prize.,10,,,,,,
liver,肝臓,,Alcohol harms the liver.,10,,,,,,
loaf,（パンの）ひとかたまり,,He bought a loaf of bread.,10,,,,,,
locate,場所をつきとめる、置く,location（場所）の仲間,They located the missing dog.,10,,,,,,
lodge,山小屋、泊める,意味が2つある,We stayed in a mountain lodge.,10,,,,,,
log,丸太、記録,意味が2つある,He put a log on the fire.,10,,,,,,
logo,ロゴ、しるし,,The logo is on the bag.,10,,,,,,
lorry,トラック,英国でよく使う言い方,A lorry blocked the road.,10,,,,,,
loss,失うこと、損失,lose（失う）から,The loss was hard to accept.,10,,,,,,
lottery,宝くじ,,She won the lottery.,10,,,,,,
loudspeaker,スピーカー、拡声器,loud ＋ speaker,The loudspeaker announced the delay.,10,,,,,,
lovingly,愛情をこめて,love から,She lovingly wrapped the gift.,10,,,,,,
loyal,忠実な,,He is loyal to his friends.,10,,,,,,
loyalty,忠誠、忠実さ,loyal から,Her loyalty never changed.,10,,,,,,
luxury,ぜいたく、高級品,,A car is a luxury here.,10,,,,,,
