問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
man,男の人,複数形は men,That man is my uncle.,10,,,,,,
woman,女の人,複数形は women,The woman in red is my aunt.,10,,,,,,
boy,男の子,,The boy is playing soccer.,10,,,,,,
girl,女の子,,That girl is my sister.,10,,,,,,
child,子ども,複数形は children,The child is sleeping.,10,,,,,,
people,人々,いつも複数として扱う,Many people come to this park.,10,,,,,,
doctor,医者,,My father is a doctor.,10,,,,,,
nurse,看護師,,She wants to be a nurse.,10,,,,,,
police officer,警察官,2語で1つの意味,Ask that police officer.,10,,,,,,
driver,運転手,drive（運転する）＋ er（人）,The bus driver is kind.,10,,,,,,
singer,歌手,sing（歌う）＋ er（人）,She is a famous singer.,10,,,,,,
farmer,農場を営む人,farm（農場）＋ er（人）,My grandfather is a farmer.,10,,,,,,
writer,作家、書く人,write（書く）＋ er（人）,She is a famous writer.,10,,,,,,
uncle,おじ,,My uncle lives in Nagoya.,10,,,,,,
aunt,おば,,My aunt gave me this book.,10,,,,,,
baby,赤ちゃん,複数形は babies,The baby is crying.,10,,,,,,
classmate,同級生,class（クラス）＋ mate（仲間）,He is my classmate.,10,,,,,,
everyone,みんな、だれでも,1人として扱う,Everyone likes her.,10,,,,,,
someone,だれか,,Someone is at the door.,10,,,,,,
nobody,だれも～ない,1語で否定の意味を持つ,Nobody is in the room.,10,,,,,,
