問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
abstract,抽象的な,concrete の反対,This is an abstract idea.,10,,,,,,
adequate,十分な、適切な,,The room is adequate for ten people.,10,,,,,,
appropriate,適切な,,Wear appropriate clothes.,10,,,,,,
capable,能力がある,be capable of ～ の形で使う,She is capable of doing it.,10,,,,,,
concrete,具体的な,abstract の反対,Give me a concrete example.,10,,,,,,
considerable,かなりの,,It took considerable time.,10,,,,,,
crucial,決定的な、重要な,,This is a crucial moment.,10,,,,,,
distinct,明確な、別個の,,There is a distinct difference.,10,,,,,,
dominant,支配的な、優勢な,,That company is dominant.,10,,,,,,
equivalent,同等の,,One dollar is equivalent to 150 yen.,10,,,,,,
evident,明白な,evidence（証拠）から,It is evident that he lied.,10,,,,,,
extensive,広範囲の,extend（広げる）から,They did extensive research.,10,,,,,,
fundamental,基本的な,,This is a fundamental rule.,10,,,,,,
inevitable,避けられない,,Change is inevitable.,10,,,,,,
initial,最初の,,The initial cost was high.,10,,,,,,
intense,激しい、強烈な,,The heat was intense.,10,,,,,,
moderate,適度な、穏やかな,,Do moderate exercise daily.,10,,,,,,
numerous,多数の,number（数）から,There are numerous examples.,10,,,,,,
potential,潜在的な、可能性,,She has great potential.,10,,,,,,
relevant,関連のある,,That is not relevant to our topic.,10,,,,,,
