問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
ID,身分証明,identification を短くした形,Show your ID at the gate.,10,,,,,,
ID card,身分証明書,2語で1つの意味,I forgot my ID card.,10,,,,,,
imagination,想像力,imagine（想像する）から,Children have rich imagination.,10,,,,,,
impatient,せっかちな,patient（忍耐強い）の反対,Do not be impatient.,10,,,,,,
importance,重要性,important（重要な）から,We learned the importance of sleep.,10,,,,,,
inch,インチ,約2.54センチ,The board is ten inches wide.,10,,,,,,
indeed,実に、本当に,,That is indeed a good idea.,10,,,,,,
independence,独立,independent（独立した）から,They gained independence in 1947.,10,,,,,,
indoor,室内の,outdoor の対,We used the indoor court.,10,,,,,,
inexpensive,安い,expensive の反対,This is an inexpensive hotel.,10,,,,,,
injure,けがをさせる,injury（けが）から,He injured his leg.,10,,,,,,
inner,内側の,outer の対,The inner room is quiet.,10,,,,,,
instant,即座の、瞬間,,This is instant coffee.,10,,,,,,
instrument,楽器、器具,意味が2つある,The violin is a string instrument.,10,,,,,,
intelligence,知能,intelligent（かしこい）から,Dogs show high intelligence.,10,,,,,,
intelligent,かしこい,,She is an intelligent student.,10,,,,,,
interest,興味、利子,意味が2つある,I have an interest in art.,10,,,,,,
invade,侵入する,invasion（侵略）から,Weeds invaded the garden.,10,,,,,,
invent,発明する,invention（発明）から,Who invented the telephone?,10,,,,,,
itself,それ自身,,The door closed by itself.,10,,,,,,
