問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3
water,水,数えられない語です,I drink a lot of water.,10,,,,
milk,牛乳,数えられない語です,This milk is very fresh.,10,,,,
bread,パン,数えられない語です,I eat bread for breakfast.,10,,,,
rice,ごはん・米,数えられない語です,We eat rice every day.,10,,,,
egg,たまご,数えられるので eggs になります,I want two eggs.,10,,,,
apple,りんご,an apple のように an を使います,This apple is very sweet.,10,,,,
orange,オレンジ・だいだい色,色の名前にもなります,She likes orange juice.,10,,,,
meat,肉,動物の肉を指します,He does not eat meat.,10,,,,
fish,魚,複数形も fish のままです,We caught a big fish.,10,,,,
vegetable,野菜,ふつう vegetables と複数で使います,Eat more vegetables.,10,,,,
breakfast,朝食,break（やぶる）＋ fast（断食）が由来です,I have breakfast at seven.,10,,,,
lunch,昼食,lunch box で「お弁当」,Let us have lunch together.,10,,,,
dinner,夕食,一日で主となる食事を指します,Dinner is ready.,10,,,,
money,お金,数えられない語です,I have no money today.,10,,,,
clothes,衣服,いつも複数形で使います,These clothes are new.,10,,,,
shoes,くつ,左右あるので複数形です,My shoes are dirty.,10,,,,
hat,ぼうし,つばのある帽子です,He is wearing a hat.,10,,,,
umbrella,かさ,an umbrella のように an を使います,Take an umbrella with you.,10,,,,
key,かぎ,car key で「車のかぎ」,I lost my key.,10,,,,
camera,カメラ,日本語と同じ発音ではありません,This camera is very small.,10,,,,
