問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
alternative,代わりのもの、代替の,,Is there an alternative?,10,,,,,,
barrier,障壁,,Language can be a barrier.,10,,,,,,
boundary,境界,,The river forms a boundary.,10,,,,,,
burden,負担,,The cost is a heavy burden.,10,,,,,,
challenge task,難しい課題,2語で1つの意味,It was a challenge task.,10,,,,,,
crisis,危機,複数形は crises,The country faced a crisis.,10,,,,,,
dilemma,ジレンマ、板ばさみ,,I am in a dilemma.,10,,,,,,
drawback,欠点,draw（引く）＋ back（後ろ）,The plan has one drawback.,10,,,,,,
extent,程度、範囲,to some extent で「ある程度」,"To some extent, I agree.",10,,,,,,
flaw,欠陥,,The design has a flaw.,10,,,,,,
gap,すき間、格差,,There is a gap between rich and poor.,10,,,,,,
incident,できごと、事件,,The incident was reported.,10,,,,,,
initiative,主導権、新構想,,She took the initiative.,10,,,,,,
obstacle,障害物,,Fear is the biggest obstacle.,10,,,,,,
outcome,結果,out（外）＋ come（来る）,The outcome was positive.,10,,,,,,
priority,優先事項,prior（前の）から,Safety is our priority.,10,,,,,,
prospect,見込み、展望,,The prospects are good.,10,,,,,,
resource management,資源管理,2語で1つの意味,Resource management is essential.,10,,,,,,
shortage,不足,short（不足した）＋ age,There is a water shortage.,10,,,,,,
trend,傾向、流行,,The trend is upward.,10,,,,,,
