問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
poverty line,貧困線,2語で1つの意味,Many live below the poverty line.,10,,,,,,
welfare benefit,福祉給付,2語で1つの意味,They receive welfare benefits.,10,,,,,,
charity work,慈善活動,2語で1つの意味,She does charity work.,10,,,,,,
donation,寄付,donate（寄付する）から,We collected donations.,10,,,,,,
volunteer work,ボランティア活動,2語で1つの意味,Volunteer work builds community.,10,,,,,,
nonprofit,非営利の,non（非）＋ profit（利益）,It is a nonprofit organization.,10,,,,,,
advocacy,擁護、支持活動,advocate（支持する）から,Their advocacy changed the law.,10,,,,,,
activist,活動家,active（活動的な）から,She is an environmental activist.,10,,,,,,
protest,抗議、抗議する,,They held a peaceful protest.,10,,,,,,
petition,請願、嘆願書,,We signed a petition.,10,,,,,,
reform,改革、改革する,,They demanded education reform.,10,,,,,,
corruption,汚職、腐敗,corrupt（腐敗した）から,Corruption harms trust.,10,,,,,,
transparency,透明性,transparent（透明な）から,We need more transparency.,10,,,,,,
accountability,説明責任,account（説明）から,Accountability builds trust.,10,,,,,,
civic,市民の,citizen（市民）から,Civic participation is low.,10,,,,,,
referendum,国民投票,,The referendum was held in June.,10,,,,,,
legislature,議会、立法府,,The legislature passed the bill.,10,,,,,,
amendment,修正、改正,amend（修正する）から,They proposed an amendment.,10,,,,,,
sovereignty,主権,,The nation defends its sovereignty.,10,,,,,,
