問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
abandon,見捨てる、断念する,,They abandoned the plan.,10,,,,,,
accelerate,加速する,,The car accelerated quickly.,10,,,,,,
accommodate,収容する、応じる,,The hall accommodates 300 people.,10,,,,,,
acknowledge,認める,,He acknowledged his error.,10,,,,,,
adjust,調整する、慣れる,,"Adjust the volume, please.",10,,,,,,
advocate,主張する、支持者,,She advocates for equal rights.,10,,,,,,
anticipate change,変化を予期する,2語で1つの意味,We anticipate change next year.,10,,,,,,
appoint,任命する,appointment（任命）から,They appointed a new manager.,10,,,,,,
approve,承認する,approval（承認）から,The committee approved the plan.,10,,,,,,
arise,生じる,,A problem arose during the test.,10,,,,,,
assemble,集める、組み立てる,,They assembled the furniture.,10,,,,,,
assure,保証する、安心させる,,I assure you it is safe.,10,,,,,,
attach,取りつける、添付する,,Attach the file to the e-mail.,10,,,,,,
bear,耐える、産む,意味が2つある,I cannot bear the noise.,10,,,,,,
boost,押し上げる,,The ad boosted sales.,10,,,,,,
categorize,分類する,category（分類）から,Categorize these items.,10,,,,,,
circulate,循環する、回覧する,,Please circulate this notice.,10,,,,,,
collaborate,協働する,co（共に）＋ labor（働く）,We collaborated on the project.,10,,,,,,
comply,従う,comply with ～ の形で使う,You must comply with the rules.,10,,,,,,
conform,順応する、従う,,Products must conform to standards.,10,,,,,,
