問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
beach,浜辺,,We walked on the beach.,10,,,,,,
farm,農場,farmer（農場を営む人）から,They live on a farm.,10,,,,,,
grass,草、芝生,数えない名詞,Do not walk on the grass.,10,,,,,,
hill,丘,mountain より低い,The house is on a hill.,10,,,,,,
stone,石,,He threw a stone into the pond.,10,,,,,,
hole,穴,,There is a hole in my sock.,10,,,,,,
fire,火、火事,,The fire spread quickly.,10,,,,,,
smoke,けむり、たばこを吸う,名詞にも動詞にも使う,I saw smoke in the distance.,10,,,,,,
moon,月,,The moon is bright tonight.,10,,,,,,
sunshine,日光,sun ＋ shine（輝く）,I love the morning sunshine.,10,,,,,,
foggy,霧の,fog（霧）＋ gy,It was foggy this morning.,10,,,,,,
autumn,秋,アメリカでは fall,Autumn is my favorite season.,10,,,,,,
bee,はち,,A bee landed on the flower.,10,,,,,,
butterfly,ちょう,butter ＋ fly,A butterfly flew by.,10,,,,,,
rat,ねずみ,mouse より大きい,A rat ran across the road.,10,,,,,,
bat,こうもり、バット,意味が2つある,He swung the bat.,10,,,,,,
bone,骨,,The dog buried a bone.,10,,,,,,
brain,脳,,Sleep is good for the brain.,10,,,,,,
heart,心臓、心,意味が2つある,My heart beat fast.,10,,,,,,
knee,ひざ,k を読まない,I hurt my knee.,10,,,,,,
