問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
part,部分、役割,,This is the best part.,10,,,,,,
group,集まり、グループ,,Make a group of four.,10,,,,,,
level,段階、水準,,Start at the easy level.,10,,,,,,
form,形、用紙,意味が2つある,Fill in this form.,10,,,,,,
type,種類、打ちこむ,意味が2つある,What type of music do you like?,10,,,,,,
case,場合、箱,意味が2つある,"In that case, we will wait.",10,,,,,,
value,価値,,This coin has great value.,10,,,,,,
power,力、電力,意味が2つある,The power went out.,10,,,,,,
care,世話、注意,take care of ～ で「世話をする」,Take care of your pet.,10,,,,,,
end,終わり、終わる,名詞にも動詞にも使う,The story has a happy end.,10,,,,,,
image,画像、印象,意味が2つある,Draw an image of your town.,10,,,,,,
title,題名、肩書き,,What is the title of the book?,10,,,,,,
course,課程、進路,,I took a cooking course.,10,,,,,,
term,学期、用語,意味が2つある,The first term ends in July.,10,,,,,,
range,範囲、幅,,The age range is wide.,10,,,,,,
section,部分、区域,,Read the second section.,10,,,,,,
board,板、掲示板,,Write it on the board.,10,,,,,,
location,場所、位置,locate（置く）から,The location is very good.,10,,,,,,
detail,細かい点,ふつう複数形で使う,Tell me the details.,10,,,,,,
