問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
embarrassment,はずかしさ、当惑,embarrass（はずかしがらせる）から,She turned red with embarrassment.,10,,,,,,
emotionally,感情的に,emotion（感情）から,He reacted emotionally.,10,,,,,,
emphasise,強調する,英国のつづり。米国では emphasize,I must emphasise this point.,10,,,,,,
employment,雇用、仕事,employ（やとう）から,He is looking for employment.,10,,,,,,
enclose,同封する、囲む,意味が2つある,Please enclose a photograph.,10,,,,,,
encouragement,はげまし,encourage（はげます）から,Her words gave me encouragement.,10,,,,,,
encouraging,はげみになる,,The result was encouraging.,10,,,,,,
encyclopaedia,百科事典,英国のつづり,He read the whole encyclopaedia.,10,,,,,,
encyclopedia,百科事典,米国のつづり。encyclopaedia と同じ,Look it up in the encyclopedia.,10,,,,,,
endanger,危険にさらす,en（〜にする）＋ danger（危険）,Pollution endangers wild animals.,10,,,,,,
endless,終わりのない,end ＋ less（〜がない）,The wait felt endless.,10,,,,,,
enemy,敵,,They defeated the enemy.,10,,,,,,
engage,従事させる、引きこむ,,The game engages young children.,10,,,,,,
engaged,婚約した、使用中の,意味が2つある,They got engaged last spring.,10,,,,,,
engineering,工学,engineer（技術者）から,He studies engineering.,10,,,,,,
Englishman,イギリス人の男性,大文字で始める,An Englishman sat beside me.,10,,,,,,
enjoyment,楽しみ,enjoy（楽しむ）から,Music brings her enjoyment.,10,,,,,,
enquiry,問い合わせ,英国のつづり。米国では inquiry,I made an enquiry about the room.,10,,,,,,
entertain,楽しませる、もてなす,,He entertained the guests.,10,,,,,,
entertainer,芸能人、人を楽しませる人,entertain から,The entertainer sang and danced.,10,,,,,,
