問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
inscribe,刻みこむ,,His name was inscribed on the cup.,10,,,,,,
inscription,刻まれた文字,inscribe から,The inscription is hard to read.,10,,,,,,
insist,強く主張する,,She insisted on paying.,10,,,,,,
inspection,検査、点検,inspect（調べる）から,The car passed the inspection.,10,,,,,,
inspire,奮い立たせる、着想を与える,,His speech inspired the students.,10,,,,,,
instal,取りつける,install の古いつづり,They will instal the heater tomorrow.,10,,,,,,
instance,例、場合,for instance（たとえば）でよく使う,This is one instance of the problem.,10,,,,,,
institute,研究所、協会,,She works at a research institute.,10,,,,,,
instructor,指導する人,instruct（教える）から,The driving instructor was patient.,10,,,,,,
insurance,保険,,He bought travel insurance.,10,,,,,,
intend,〜するつもりである,intention（意図）の仲間,I intend to study abroad.,10,,,,,,
intensive,集中的な,,She took an intensive course.,10,,,,,,
intentionally,わざと,intention（意図）から,He did not do it intentionally.,10,,,,,,
intermediate,中級の、中間の,,She is in the intermediate class.,10,,,,,,
intermission,休憩時間,劇や映画の途中の休みを指す,We bought drinks at the intermission.,10,,,,,,
internal,内部の,external（外部の）と対で使う,It is an internal matter.,10,,,,,,
internationally,国際的に,international から,The book sold internationally.,10,,,,,,
interrupt,さえぎる、じゃまする,,Do not interrupt me.,10,,,,,,
interval,間隔、あいだ,,Buses run at short intervals.,10,,,,,,
interviewee,面接を受ける人,ee は「される人」をあらわす,The interviewee arrived early.,10,,,,,,
