問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
gather,集まる、集める,,People gathered in the square.,10,,,,,,
globe,地球、地球儀,,The globe shows every country.,10,,,,,,
glove,手ぶくろの片方,両方は gloves,I lost one glove.,10,,,,,,
golden,金色の,gold（金）＋ en,The sunset was golden.,10,,,,,,
golf,ゴルフ,,My father plays golf.,10,,,,,,
good-looking,見た目のよい,2語で1つの意味,He is good-looking.,10,,,,,,
gradually,徐々に,gradual（徐々の）＋ ly,The sky gradually cleared.,10,,,,,,
gram,グラム,,Add 200 grams of sugar.,10,,,,,,
grandchild,孫,grand ＋ child,She has three grandchildren.,10,,,,,,
granddaughter,孫娘,grand ＋ daughter,His granddaughter is five.,10,,,,,,
grandson,孫息子,grand ＋ son,Their grandson visits often.,10,,,,,,
greatly,大いに,great（大きい）＋ ly,It helped me greatly.,10,,,,,,
greedy,欲ばりな,,Do not be greedy.,10,,,,,,
grilled,焼いた,grill（焼く）から,I ordered grilled fish.,10,,,,,,
grocery store,食料品店,2語で1つの意味,The grocery store is nearby.,10,,,,,,
guard,守る、警備員,名詞にも動詞にも使う,A guard stands at the gate.,10,,,,,,
guidebook,ガイドブック,guide ＋ book,I bought a guidebook.,10,,,,,,
gun,銃,,Guns are strictly controlled.,10,,,,,,
ham,ハム,,I made a ham sandwich.,10,,,,,,
handbag,ハンドバッグ,hand ＋ bag,Her handbag is brown.,10,,,,,,
