問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3
異なる,ことなる,ちがっている,,15,ことなる,,,
胃,い,食べ物をこなす内ぞう,,15,い,,,
遺産,いさん,前の世代からのこされたもの,,15,いさん,,,
地域,ちいき,区切られた土地のはんい,,15,ちいき,,,
宇宙,うちゅう,星が広がる空間,,15,うちゅう,,,
映る,うつる,すがたが表れて見える,,15,うつる,,,
延びる,のびる,予定より先になる,,15,のびる,,,
沿う,そう,そばにしたがって進む,,15,そう,,,
恩,おん,受けたありがたい行い,,15,おん,,,
我,われ,自分のこと,,15,われ,,,
灰色,はいいろ,白と黒の間の色,,15,はいいろ,,,
拡大,かくだい,大きく広げること,,15,かくだい,,,
内閣,ないかく,国の政治を行う集まり,,15,ないかく,,,
改革,かいかく,しくみを新しくすること,,15,かいかく,,,
割る,わる,分けてこわす,,15,わる,,,
株,かぶ,切ったあとの木のねもと,,15,かぶ,,,
巻く,まく,ぐるぐると回してつつむ,,15,まく,,,
干す,ほす,水気をとばす,,15,ほす,,,
看板,かんばん,店の名を示す板,,15,かんばん,,,
簡単,かんたん,こみいっていないこと,,15,かんたん,,,
危ない,あぶない,けがのおそれがある,,15,あぶない,,,
指揮,しき,全体をまとめて動かすこと,,15,しき,,,
机,つくえ,書きものをする台,,15,つくえ,,,
貴重,きちょう,とても大切であること,,15,きちょう,,,
疑う,うたがう,本当かどうかあやしむ,,15,うたがう,,,
吸う,すう,中へ引き入れる,,15,すう,,,
供える,そなえる,神仏の前に置く,,15,そなえる,,,
胸,むね,体の前がわの上の部分,,15,むね,,,
故郷,こきょう,生まれ育った土地,,15,こきょう,,,
勤める,つとめる,会社などではたらく,,15,つとめる,,,
筋,すじ,細長く通っているもの,,15,すじ,,,
敬う,うやまう,相手を大切に思う,,15,うやまう,,,
太陽系,たいようけい,太陽をめぐる星の集まり,,15,たいようけい,,,
警察,けいさつ,安全を守る役所,,15,けいさつ,,,
劇,げき,ぶたいで演じるもの,,15,げき,,,
激しい,はげしい,いきおいがとても強い,,15,はげしい,,,
穴,あな,くぼんで空いたところ,,15,あな,,,
入場券,にゅうじょうけん,中に入るための紙,,15,にゅうじょうけん,,,
憲法,けんぽう,国のもっとも大事なきまり,,15,けんぽう,,,
権利,けんり,当然みとめられる力,,15,けんり,,,
絹,きぬ,かいこからとれる糸のぬの,,15,きぬ,,,
厳しい,きびしい,手加減がない,,15,きびしい,,,
源,みなもと,流れのはじまるところ,,15,みなもと,,,
呼ぶ,よぶ,声をかけて来させる,,15,よぶ,,,
自己,じこ,自分自身のこと,,15,じこ,,,
誤る,あやまる,まちがえる,,15,あやまる,,,
皇后,こうごう,天皇のきさき,,15,こうごう,,,
孝行,こうこう,親を大切にすること,,15,こうこう,,,
皇室,こうしつ,天皇とその一族,,15,こうしつ,,,
紅,べに,あざやかな赤い色,,15,べに,,,
鉄鋼,てっこう,かたく仕上げた鉄,,15,てっこう,,,
降る,ふる,雨や雪が落ちてくる,,15,ふる,,,
刻む,きざむ,細かく切る,,15,きざむ,,,
穀物,こくもつ,米や麦などの作物,,15,こくもつ,,,
骨,ほね,体をささえるかたい部分,,15,ほね,,,
困る,こまる,どうしてよいかわからない,,15,こまる,,,
砂,すな,細かいつぶの土,,15,すな,,,
座る,すわる,こしを下ろす,,15,すわる,,,
済む,すむ,用事が終わる,,15,すむ,,,
裁判,さいばん,争いの決着をつける手続き,,15,さいばん,,,
対策,たいさく,問題への手だて,,15,たいさく,,,
