問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
antiquity,古代,,The study of antiquity is fascinating.,10,,,,,,
medieval,中世の,,Medieval Europe had strong churches.,10,,,,,,
renaissance,文芸復興、再生,,The Renaissance began in Italy.,10,,,,,,
crusade,十字軍、運動,,The crusades lasted two centuries.,10,,,,,,
monarchy,君主制,,The country was a monarchy.,10,,,,,,
republic,共和国,,It became a republic in 1792.,10,,,,,,
parliamentary,議会の,parliament（議会）から,Britain has a parliamentary system.,10,,,,,,
industrial revolution,産業革命,2語で1つの意味,The industrial revolution began in Britain.,10,,,,,,
colonize,植民地にする,colony（植民地）から,They colonized the region.,10,,,,,,
independence movement,独立運動,2語で1つの意味,The independence movement grew.,10,,,,,,
abolition,廃止,abolish（廃止する）から,The abolition of slavery took decades.,10,,,,,,
reformer,改革者,reform（改革する）＋ er,The reformer challenged tradition.,10,,,,,,
dictatorship,独裁,dictator（独裁者）から,The dictatorship ended in 1975.,10,,,,,,
propaganda poster,宣伝ポスター,2語で1つの意味,The propaganda poster urged support.,10,,,,,,
alliance system,同盟体制,2語で1つの意味,The alliance system led to war.,10,,,,,,
armament,軍備,arm（武装する）から,Armament increased tension.,10,,,,,,
treaty signing,条約の調印,2語で1つの意味,The treaty signing ended the war.,10,,,,,,
cold war,冷戦,2語で1つの意味,The cold war lasted 45 years.,10,,,,,,
decolonization,脱植民地化,,Decolonization reshaped Africa.,10,,,,,,
historical source,史料,2語で1つの意味,Examine the historical source.,10,,,,,,
