問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
schedule,予定、時間割,,What is your schedule tomorrow?,10,,,,,,
appointment,約束、予約,人と会う約束,I have an appointment at three.,10,,,,,,
reservation,予約,席や部屋の予約,I made a reservation for two.,10,,,,,,
date,日付、デート,意味が2つある,What is the date today?,10,,,,,,
calendar,カレンダー,,Look at the calendar.,10,,,,,,
daily,毎日の,day（日）＋ ly,This is my daily routine.,10,,,,,,
weekly,毎週の,week（週）＋ ly,We have a weekly meeting.,10,,,,,,
future,未来、将来,in the future で「将来」,What do you want to be in the future?,10,,,,,,
past,過去、過ぎた,,Do not think about the past.,10,,,,,,
moment,瞬間、ちょっとの間,Just a moment. で「少々お待ちを」,"Wait a moment, please.",10,,,,,,
during,～の間じゅう,あとに名詞を置く,I studied during the vacation.,10,,,,,,
while,～する間に,あとに文を置く,I read a book while I waited.,10,,,,,,
until,～まで,続くことの終わりを表す,Wait until five.,10,,,,,,
since,～以来,始まりの時点を表す,I have lived here since 2020.,10,,,,,,
already,すでに、もう,,I have already finished it.,10,,,,,,
yet,まだ、もう,疑問文や否定文で使う,I have not finished yet.,10,,,,,,
just,ちょうど、ただ～だけ,意味が2つある,I just came home.,10,,,,,,
finally,ついに、最後に,,"Finally, we arrived.",10,,,,,,
recently,最近,,I saw him recently.,10,,,,,,
someday,いつか,,I want to visit Paris someday.,10,,,,,,
