問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
whatever,何でも,,Take whatever you like.,10,,,,,,
wheelchair,車いす,wheel ＋ chair,The station has wheelchair access.,10,,,,,,
whole,全体の,w を読まない,I ate the whole cake.,10,,,,,,
whom,だれを,who が変化した形,To whom should I speak?,10,,,,,,
widely,広く,wide（広い）＋ ly,The song is widely known.,10,,,,,,
wild,野生の,,We saw wild deer.,10,,,,,,
wine,ワイン,,They served red wine.,10,,,,,,
winner,勝者,win ＋ er,The winner got a trophy.,10,,,,,,
wisdom,知恵,wise（賢い）から,Age brings wisdom.,10,,,,,,
wise,賢い,wisdom（知恵）から,That was a wise choice.,10,,,,,,
within,～以内に,,Reply within three days.,10,,,,,,
without,～なしで,with の反対,I cannot live without music.,10,,,,,,
wonder,不思議に思う、驚き,名詞にも動詞にも使う,I wonder why he left.,10,,,,,,
wood,木材、森,意味が2つある,The table is made of wood.,10,,,,,,
wooden,木製の,wood（木材）＋ en,This is a wooden box.,10,,,,,,
wool,羊毛,,The sweater is made of wool.,10,,,,,,
writing,書くこと、文章,write ＋ ing,Her writing is clear.,10,,,,,,
yeah,うん,yes のくだけた言い方,"Yeah, I agree.",10,,,,,,
youth,若さ、若者,young（若い）から,He spent his youth abroad.,10,,,,,,
zone,地帯、区域,,This is a no-parking zone.,10,,,,,,
