問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
toothbrush,歯ブラシ,tooth（歯）＋ brush（ブラシ）,Bring your toothbrush.,10,,,,,,
handkerchief,ハンカチ,,Do you have a handkerchief?,10,,,,,,
lunch box,弁当箱,2語で1つの意味,My lunch box is red.,10,,,,,,
chopsticks,はし,いつも複数形で使う,I use chopsticks every day.,10,,,,,,
spoon,スプーン,,Eat the soup with a spoon.,10,,,,,,
fork,フォーク,,Use a fork for the salad.,10,,,,,,
straw,ストロー、わら,意味が2つある,Drink with a straw.,10,,,,,,
napkin,ナプキン,,Put the napkin on your lap.,10,,,,,,
water bottle,水筒,2語で1つの意味,Do not forget your water bottle.,10,,,,,,
raincoat,レインコート,rain（雨）＋ coat（コート）,Wear your raincoat today.,10,,,,,,
boots,長ぐつ,いつも複数形で使う,My boots are muddy.,10,,,,,,
gloves,手ぶくろ,いつも複数形で使う,Put on your gloves.,10,,,,,,
scarf,マフラー、スカーフ,複数形は scarves,She wore a red scarf.,10,,,,,,
mask,マスク、仮面,意味が2つある,He is wearing a mask.,10,,,,,,
cap,ぼうし,つばが前だけのもの,He wears a baseball cap.,10,,,,,,
name tag,名札,2語で1つの意味,Put on your name tag.,10,,,,,,
badge,バッジ、記章,,She wears a class badge.,10,,,,,,
wallet,財布,,I left my wallet at home.,10,,,,,,
keychain,キーホルダー,key（鍵）＋ chain（鎖）,This keychain is a souvenir.,10,,,,,,
