問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
elementary,初歩の、小学校の,elementary school で「小学校」,She is in elementary school.,10,,,,,,
everyday,毎日の,副詞の every day と分けて書く,This is an everyday task.,10,,,,,,
following,次の,follow（続く）から,Answer the following question.,10,,,,,,
ideal,理想的な,idea（考え）から,This is an ideal place.,10,,,,,,
interested,興味がある,be interested in ～ の形で使う,I am interested in science.,10,,,,,,
living,生きている,live（生きる）から,A whale is a living thing.,10,,,,,,
merry,陽気な,Merry Christmas でよく使う,We had a merry time.,10,,,,,,
mobile,携帯の,mobile phone で「携帯電話」,My mobile is out of battery.,10,,,,,,
person,人,複数形は people,She is a kind person.,10,,,,,,
pet,ペット,,Do you have a pet?,10,,,,,,
quarter,4分の1、15分,,It is a quarter past three.,10,,,,,,
seat,座席,,Is this seat free?,10,,,,,,
site,場所、敷地,,This is the building site.,10,,,,,,
dollar,ドル,,It costs ten dollars.,10,,,,,,
pop,ポップス、はじける,意味が2つある,I like pop music.,10,,,,,,
rose,ばら,,He gave her a red rose.,10,,,,,,
lily,ゆり,,The lily smells sweet.,10,,,,,,
I'm sorry,ごめんなさい,2語で1つの言い方,I'm sorry for being late.,10,,,,,,
we're,私たちは～です,we are の短縮形,We're on our way.,10,,,,,,
she's,彼女は～です,she is の短縮形,She's my classmate.,10,,,,,,
