問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
ethics,倫理,,Medical ethics guide doctors.,10,,,,,,
consent,同意、同意する,,Informed consent is required.,10,,,,,,
confidentiality,守秘義務,confidential（秘密の）から,Patient confidentiality is protected.,10,,,,,,
donor,提供者,donate（提供する）から,The donor saved a life.,10,,,,,,
recipient,受け取る人,receive（受け取る）から,The recipient recovered well.,10,,,,,,
terminal,末期の、終着駅,意味が2つある,He has a terminal illness.,10,,,,,,
palliative,緩和の,,Palliative care eases pain.,10,,,,,,
prognosis,予後、見通し,,The prognosis is good.,10,,,,,,
chronic,慢性の,acute の対,She has a chronic disease.,10,,,,,,
acute pain,激しい痛み,2語で1つの意味,He felt acute pain.,10,,,,,,
remission,寛解、軽減,,The cancer is in remission.,10,,,,,,
side effect,副作用,2語で1つの意味,The drug has few side effects.,10,,,,,,
dosage,服用量,dose（服用量）から,Follow the correct dosage.,10,,,,,,
placebo,偽薬,,The placebo group showed no change.,10,,,,,,
screening,検診、選別,,Cancer screening saves lives.,10,,,,,,
immunity,免疫,immune（免疫の）から,Vaccines build immunity.,10,,,,,,
outbreak,発生、勃発,break out（発生する）から,There was an outbreak of flu.,10,,,,,,
mortality,死亡率,,Mortality rates have fallen.,10,,,,,,
longevity,長寿,,Japan is known for longevity.,10,,,,,,
rehabilitation,リハビリ、社会復帰,,Rehabilitation takes months.,10,,,,,,
