問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
burning,燃えている、熱烈な,burn（燃える）から,I smell burning wood.,10,,,,,,
bust,胸像、胸回り,意味が2つある,The bust stands in the hall.,10,,,,,,
caller,電話をかけた人、訪問者,call（呼ぶ）から,The caller did not leave a name.,10,,,,,,
calmness,落ち着き,calm（落ち着いた）から,Her calmness helped everyone.,10,,,,,,
canteen,食堂,学校や職場の食堂を指す,We ate lunch in the canteen.,10,,,,,,
carelessness,不注意,careless（不注意な）から,The accident came from carelessness.,10,,,,,,
cashpoint,現金自動預け払い機,英国でよく使う言い方,I got money from the cashpoint.,10,,,,,,
categorise,分類する,英国のつづり。米国では categorize,We categorise the books by topic.,10,,,,,,
category,区分、分類,,This film is in a new category.,10,,,,,,
cd-rom,シーディーロム,記録された内容を読み出す円盤,The dictionary came on a cd-rom.,10,,,,,,
central heating,集中暖房,2語で1つの意味,The house has central heating.,10,,,,,,
characterise,特徴づける,英国のつづり。米国では characterize,Rain characterises this season.,10,,,,,,
characteristic,特徴、特有の,character（特徴）から,Kindness is his characteristic.,10,,,,,,
chariot,戦車（馬に引かせる）,昔の乗り物,The chariot was pulled by horses.,10,,,,,,
chat show,対談番組,2語で1つの意味。英国でよく使う,She appeared on a chat show.,10,,,,,,
check-in,搭乗や宿泊の受付,,The check-in starts at two.,10,,,,,,
check-in counter,受付のカウンター,3語で1つの意味,Go to the check-in counter.,10,,,,,,
check-in desk,受付の机,3語で1つの意味,The check-in desk is closed.,10,,,,,,
cherish,大切にする,,I cherish these memories.,10,,,,,,
chest of drawers,たんす,4語で1つの意味,The socks are in the chest of drawers.,10,,,,,,
